,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
0,ViKin.gg vs Hippomaniacs,1.02-15.19,1.03-10.00,-,24 Апреля 16:00 2021,DreamLeague Season 15 DPC Western Europe Нижний дивизион,ViKin.gg,"['Shad', 'BOOM', 'KheZu', 'Aramis', 'Seleri']",Hippomaniacs,"['Curry', 'Mambos', 'Tipek', 'Muf', 'sehny']","['Puck', 'Warlock', 'Dazzle', 'Enchantress', 'Undying', 'Storm Spirit', 'Void Spirit']","['Grimstroke', 'Snapfire', 'Juggernaut', 'Lifestealer', 'Phantom Lancer', 'Ursa', 'Wraith King']","['Slark', 'Beastmaster', 'Razor', 'Earth Spirit', 'Disruptor']","['Gyrocopter', 'Ember Spirit', 'Centaur Warrunner', 'Rubick', 'Abaddon']","<span class=""team__title-label"">Победа</span>",,37 : 14
1,ViKin.gg vs Hippomaniacs,1.02-15.19,1.03-10.00,-,24 Апреля 16:00 2021,DreamLeague Season 15 DPC Western Europe Нижний дивизион,Hippomaniacs,"['Curry', 'Mambos', 'Tipek', 'Muf', 'sehny']",ViKin.gg,"['Shad', 'BOOM', 'KheZu', 'Aramis', 'Seleri']","['Beastmaster', 'Earth Spirit', 'Storm Spirit', 'Dark Willow', 'Puck', 'Lina']","['Warlock', 'Grimstroke', 'Ember Spirit', 'Timbersaw', 'Queen of Pain', 'Dragon Knight', 'Void Spirit']","['Lifestealer', 'Windranger', 'Broodmother', 'Winter Wyvern', 'Snapfire']","['Juggernaut', 'Morphling', 'Razor', 'Centaur Warrunner', 'Enchantress']","<span class=""team__title-label"">Победа</span>",,27 : 19
2,ViKin.gg vs Hippomaniacs,1.02-15.19,1.03-10.00,-,24 Апреля 16:00 2021,DreamLeague Season 15 DPC Western Europe Нижний дивизион,Hippomaniacs,"['Curry', 'Mambos', 'Tipek', 'Muf', 'sehny']",ViKin.gg,"['Shad', 'BOOM', 'KheZu', 'Aramis', 'Seleri']","['Earth Spirit', 'Enchantress', 'Gyrocopter', 'Monkey King', 'Snapfire', 'Medusa', 'Winter Wyvern']","['Warlock', 'Puck', 'Ursa', 'Juggernaut', 'Lifestealer', 'Dragon Knight', 'Queen of Pain']","['Troll Warlord', 'Tiny', 'Broodmother', 'Lion', 'Grimstroke']","['Razor', 'Storm Spirit', 'Tidehunter', 'Tusk', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",7 : 30
3,Invictus Gaming vs Team MagMa,1.11-6.21,1.10-6.25,-,24 Апреля 13:54 2021,i-League 2021,Team MagMa,"['wish safe health', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Beastmaster', 'Phoenix', 'Timbersaw', 'Morphling', 'Juggernaut', 'Night Stalker', 'Puck']","['Tusk', 'Grimstroke', 'Oracle', 'Death Prophet', ""Nature's Prophet"", 'Templar Assassin', 'Viper']","['Weaver', 'Mars', 'Underlord', 'Lion', 'Nyx Assassin']","['Spectre', 'Void Spirit', 'Brewmaster', 'Shadow Shaman', 'Snapfire']",,"<span class=""team__title-label"">Победа</span>",31 : 40
4,Invictus Gaming vs Team MagMa,1.11-6.21,1.10-6.25,-,24 Апреля 13:54 2021,i-League 2021,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Team MagMa,"['wish safe health', 'Dust', 'Tzy', 'mianmian', 'Kazz']","['Nyx Assassin', 'Tusk', 'Earth Spirit', 'Oracle', 'Juggernaut', 'Night Stalker', 'Centaur Warrunner']","['Snapfire', 'Phoenix', 'Ancient Apparition', 'Lina', 'Morphling', 'Ursa', 'Monkey King']","['Wraith King', 'Beastmaster', 'Mars', 'Lion', 'Shadow Demon']","['Spectre', 'Death Prophet', 'Doom', 'Shadow Shaman', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,31 : 11
5,Lilgun vs T1,5.11-1.18,8.00-1.06,-,24 Апреля 13:43 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Lilgun,"['Вэжита', 'Sancity', 'x123', 'Marvel', 'Hishge']","['Lina', 'Beastmaster', 'Morphling', 'Troll Warlord', 'Centaur Warrunner', 'Razor', 'Faceless Void']","['Puck', 'Luna', 'Batrider', 'Storm Spirit', 'Leshrac', 'Magnus', 'Ember Spirit']","['Juggernaut', 'Necrophos', 'Slardar', 'Snapfire', 'Lich']","['Lion', 'Tiny', 'Broodmother', 'Timbersaw', 'Phoenix']","<span class=""team__title-label"">Победа</span>",,33 : 22
6,Lilgun vs T1,5.11-1.18,8.00-1.06,-,24 Апреля 13:43 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Lilgun,"['Вэжита', 'Sancity', 'x123', 'Marvel', 'Hishge']","['Lina', 'Broodmother', 'Huskar', 'Centaur Warrunner', 'Morphling', 'Ursa', 'Troll Warlord']","['Puck', 'Beastmaster', 'Batrider', 'Juggernaut', 'Luna', 'Queen of Pain', 'Timbersaw']","['Lifestealer', 'Sand King', 'Dark Seer', 'Earth Spirit', 'Lion']","['Dark Willow', 'Tiny', 'Wraith King', 'Mars', 'Undying']","<span class=""team__title-label"">Победа</span>",,41 : 18
7,TNC Predator vs OB Esports x Neon,1.70-2.17,1.20-4.20,-,24 Апреля 10:07 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,OB Esports x Neon,"['skem', 'Natsumi-', 'Yopaj', 'PlayHard', 'Jaunuel']",TNC Predator,"['Gabbi', 'Armel', 'Bok', 'Tims', 'Boomy']","['Io', 'Bristleback', 'Clockwerk', 'Lion', 'Spectre', 'Ogre Magi', 'Tusk']","['Death Prophet', 'Nyx Assassin', 'Medusa', 'Elder Titan', 'Templar Assassin', 'Terrorblade', 'Lifestealer']","[""Nature's Prophet"", 'Void Spirit', 'Dragon Knight', 'Earth Spirit', 'Enchantress']","['Luna', 'Puck', 'Bloodseeker', 'Snapfire', 'Mirana']","<span class=""team__title-label"">Победа</span>",,32 : 10
8,TNC Predator vs OB Esports x Neon,1.70-2.17,1.20-4.20,-,24 Апреля 10:07 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,OB Esports x Neon,"['skem', 'Natsumi-', 'Yopaj', 'PlayHard', 'Jaunuel']",TNC Predator,"['Gabbi', 'Armel', 'Bok', 'Tims', 'Boomy']","['Io', 'Bristleback', 'Mirana', 'Luna', 'Spectre', 'Gyrocopter', 'Troll Warlord']","['Death Prophet', 'Enchantress', 'Elder Titan', 'Earth Spirit', 'Tusk', 'Lifestealer', 'Razor']","[""Nature's Prophet"", 'Void Spirit', 'Templar Assassin', 'Nyx Assassin', 'Crystal Maiden']","['Tiny', 'Beastmaster', 'Centaur Warrunner', 'Lion', 'Puck']",,"<span class=""team__title-label"">Победа</span>",21 : 26
9,TNC Predator vs OB Esports x Neon,1.70-2.17,1.20-4.20,-,24 Апреля 10:07 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,OB Esports x Neon,"['skem', 'Natsumi-', 'Yopaj', 'PlayHard', 'Jaunuel']",TNC Predator,"['Gabbi', 'Armel', 'Bok', 'Tims', 'Boomy']","['Io', 'Bristleback', 'Earth Spirit', 'Tiny', 'Abaddon', 'Centaur Warrunner', 'Underlord']","['Death Prophet', 'Enchantress', 'Elder Titan', 'Tusk', 'Void Spirit', 'Viper', 'Troll Warlord']","['Dragon Knight', ""Nature's Prophet"", 'Sand King', 'Mirana', 'Nyx Assassin']","['Spectre', 'Beastmaster', 'Pangolier', 'Lion', 'Puck']",,"<span class=""team__title-label"">Победа</span>",27 : 42
