,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
10,Team SMG vs Motivate.Trust Gaming,1.91-1.76,9.30-1.04,-,24 Апреля 07:18 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Нижний Дивизион,Team SMG,"['MidOne', 'Neah666', 'kpii', 'ah fu', 'Mushi']",Motivate.Trust Gaming,"['เสือเองคร้าบ', 'JaCkky', 'Masaros', 'Q', 'LionaX']","['Death Prophet', 'Elder Titan', 'Monkey King', 'Slark', 'Faceless Void', 'Troll Warlord', 'Lifestealer']","['Grimstroke', 'Puck', 'Snapfire', 'Beastmaster', 'Viper', 'Phoenix', 'Shadow Shaman']","['Juggernaut', 'Ember Spirit', 'Magnus', 'Rubick', 'Undying']","['Storm Spirit', 'Morphling', 'Bristleback', 'Lion', 'Abaddon']",,"<span class=""team__title-label"">Победа</span>",26 : 19
11,Team SMG vs Motivate.Trust Gaming,1.91-1.76,9.30-1.04,-,24 Апреля 07:18 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Нижний Дивизион,Team SMG,"['MidOne', 'Neah666', 'kpii', 'ah fu', 'Mushi']",Motivate.Trust Gaming,"['เสือเองคร้าบ', 'JaCkky', 'Masaros', 'Q', 'LionaX']","['Elder Titan', 'Grimstroke', 'Timbersaw', 'Gyrocopter', 'Viper', 'Phantom Assassin', 'Troll Warlord']","['Snapfire', 'Puck', 'Juggernaut', 'Queen of Pain', 'Spectre', 'Earth Spirit', 'Phoenix']","['Monkey King', 'Riki', 'Beastmaster', 'Brewmaster', 'Lion']","['Storm Spirit', 'Ursa', 'Death Prophet', 'Clockwerk', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",36 : 52
12,beastcoast vs Infinity Esports,1.05-10.19,1.08-7.00,-,24 Апреля 01:07 2021,OGA DPC South America Regional League Season 2: Верхний Дивизион,beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']",Infinity Esports,"['Littleboy a.k.a @dragoslutt', 'BARBARAA!! IKUYOOO!!!!', 'Pompinchu', 'HAPPPPPPPPPYYYYYYYYYY', 'Okay!']","['Mirana', 'Grimstroke', 'Anti-Mage', 'Ursa', 'Dark Willow', 'Viper', 'Batrider']","['Puck', 'Phantom Lancer', 'Wraith King', 'Tusk', 'Nyx Assassin', 'Oracle', 'Clockwerk']","['Elder Titan', 'Juggernaut', 'Storm Spirit', 'Timbersaw', 'Lina']","['Centaur Warrunner', 'Lion', 'Snapfire', 'Gyrocopter', 'Beastmaster']","<span class=""team__title-label"">Победа</span>",,34 : 16
13,beastcoast vs Infinity Esports,1.05-10.19,1.08-7.00,-,24 Апреля 01:07 2021,OGA DPC South America Regional League Season 2: Верхний Дивизион,beastcoast,"['K1', 'StingerR', 'Chris Luck', 'Wisper', 'Scofield']",Infinity Esports,"['BARBARAA!! IKUYOOO!!!!', 'Okay!', 'Littleboy a.k.a @dragoslutt', 'Pompinchu', 'HAPPPPPPPPPYYYYYYYYYY']","['Ember Spirit', 'Huskar', ""Nature's Prophet"", 'Lifestealer', 'Invoker', 'Mirana', 'Dark Willow']","['Troll Warlord', 'Timbersaw', 'Spectre', 'Sven', 'Wraith King', 'Storm Spirit', 'Puck']","['Juggernaut', 'Snapfire', 'Void Spirit', 'Mars', 'Earth Spirit']","['Oracle', 'Magnus', 'Leshrac', 'Tusk', 'Ursa']","<span class=""team__title-label"">Победа</span>",,37 : 39
14,Infamous Gaming vs Team Unknown,1.24-3.81,1.05-8.50,-,23 Апреля 22:09 2021,OGA DPC South America Regional League Season 2: Верхний Дивизион,Team Unknown,"['Robo-Z', 'TaO', 'Sacred', 'Wij', 'Prada']",Infamous Gaming,"['Papita', 'pakazs', 'Kxy', 'Michael', 'Accel']","['Storm Spirit', 'Underlord', 'Lifestealer', 'Juggernaut', 'Ursa', 'Puck', 'Invoker']","['Void Spirit', 'Lion', 'Kunkka', 'Timbersaw', 'Troll Warlord', 'Enchantress', 'Beastmaster']","['Mars', 'Morphling', 'Tidehunter', 'Lina', 'Phoenix']","['Venomancer', 'Wraith King', 'Queen of Pain', 'Earth Spirit', 'Warlock']",,"<span class=""team__title-label"">Победа</span>",6 : 22
15,Infamous Gaming vs Team Unknown,1.24-3.81,1.05-8.50,-,23 Апреля 22:09 2021,OGA DPC South America Regional League Season 2: Верхний Дивизион,Infamous Gaming,"['Papita', 'pakazs', 'Kxy', 'Michael', 'Accel']",Team Unknown,"['TaO', 'Robo-Z', 'Sacred', 'Wij', 'Prada']","['Juggernaut', 'Monkey King', 'Spectre', 'Leshrac', 'Troll Warlord', 'Beastmaster', 'Timbersaw']","['Ursa', 'Bloodseeker', 'Morphling', 'Templar Assassin', 'Kunkka', 'Mars', 'Invoker']","['Centaur Warrunner', 'Anti-Mage', ""Nature's Prophet"", 'Lion', 'Gyrocopter']","['Lifestealer', 'Puck', 'Dark Seer', 'Earth Spirit', 'Snapfire']","<span class=""team__title-label"">Победа</span>",,31 : 23
16,Virtus.pro vs PuckChamp,1.08-7.31,1.01-12.60,-,23 Апреля 19:20 2021,ESL One Eastern Europe Online Season 2: Верхний дивизион,PuckChamp,"['cridoz (fan)', 'krylat', 'meLes', 'Astral', 'Dukalis']",Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']","['Beastmaster', 'Puck', 'Elder Titan', 'Lifestealer', 'Phantom Lancer', 'Magnus', 'Invoker']","['Io', 'Earth Spirit', 'Storm Spirit', 'Monkey King', 'Phoenix', 'Pugna', 'Razor']","['Mars', 'Wraith King', 'Batrider', 'Tusk', 'Grimstroke']","['Juggernaut', 'Void Spirit', 'Timbersaw', 'Lion', 'Witch Doctor']",,"<span class=""team__title-label"">Победа</span>",17 : 32
17,Virtus.pro vs PuckChamp,1.08-7.31,1.01-12.60,-,23 Апреля 19:20 2021,ESL One Eastern Europe Online Season 2: Верхний дивизион,Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']",PuckChamp,"['cridoz (fan)', 'krylat', 'meLes', 'Astral', 'Dukalis']","['Io', 'Beastmaster', 'Monkey King', 'Death Prophet', 'Viper', 'Lina', 'Phoenix']","['Grimstroke', 'Magnus', 'Juggernaut', 'Lifestealer', 'Wraith King', 'Phantom Lancer', 'Naga Siren']","['Troll Warlord', 'Tiny', 'Timbersaw', 'Lion', 'Oracle']","['Storm Spirit', 'Ursa', 'Mars', 'Techies', 'Snapfire']","<span class=""team__title-label"">Победа</span>",,30 : 6
18,EgoBoys vs Omega Gaming,1.40-2.66,2.80-1.40,-,23 Апреля 19:18 2021,OGA DPC South America Regional League Season 2: Нижний Дивизион,EgoBoys,"['Isaac09', 'Rises', 'Alone', 'Tano', 'Cara']",Omega Gaming,"['M a r i k a t e', '.', 'lisa', 'mingatte', 'thugger']","['Phoenix', 'Centaur Warrunner', 'Chaos Knight', 'Tusk', 'Juggernaut', 'Spectre', 'Terrorblade']","['Abaddon', 'Pangolier', 'Invoker', 'Weaver', 'Huskar', 'Timbersaw', 'Sand King']","['Venomancer', 'Troll Warlord', 'Leshrac', 'Nyx Assassin', 'Oracle']","['Beastmaster', 'Earth Spirit', 'Mars', 'Bloodseeker', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,34 : 13
19,EgoBoys vs Omega Gaming,1.40-2.66,2.80-1.40,-,23 Апреля 19:18 2021,OGA DPC South America Regional League Season 2: Нижний Дивизион,Omega Gaming,"['.', 'M a r i k a t e', 'lisa', 'mingatte', 'thugger']",EgoBoys,"['Isaac09', 'Rises', 'Alone', 'Tano', 'Cara']","['Nyx Assassin', 'Abaddon', 'Troll Warlord', 'Weaver', 'Invoker', 'Pangolier', 'Tidehunter']","['Phoenix', 'Centaur Warrunner', 'Void Spirit', 'Queen of Pain', 'Puck', 'Phantom Lancer', 'Bloodseeker']","['Tusk', 'Leshrac', 'Mars', 'Chaos Knight', 'Snapfire']","['Sand King', 'Lifestealer', 'Huskar', 'Mirana', 'Oracle']","<span class=""team__title-label"">Победа</span>",,38 : 25
20,EgoBoys vs Omega Gaming,1.40-2.66,2.80-1.40,-,23 Апреля 19:18 2021,OGA DPC South America Regional League Season 2: Нижний Дивизион,EgoBoys,"['Isaac09', 'Rises', 'Alone', 'Tano', 'Cara']",Omega Gaming,"['M a r i k a t e', '.', 'lisa', 'mingatte', 'thugger']","['Phoenix', 'Centaur Warrunner', 'Mars', 'Tusk', 'Juggernaut', 'Tidehunter', 'Underlord']","['Nyx Assassin', 'Pangolier', 'Timbersaw', 'Troll Warlord', 'Weaver', 'Phantom Lancer', 'Ursa']","['Leshrac', 'Void Spirit', 'Anti-Mage', 'Earth Spirit', 'Oracle']","['Invoker', 'Snapfire', 'Sand King', 'Wraith King', 'Abaddon']",,"<span class=""team__title-label"">Победа</span>",14 : 29
21,Winstrike Team vs Team Unique,1.76-1.99,1.06-8.00,-,23 Апреля 16:00 2021,ESL One Eastern Europe Online Season 2: Верхний дивизион,Winstrike Team,"['DyrachYO', 're1bl', 'chshrct', 'yamich', 'Pantomem']",Team Unique,"['Palantimos', 'fn', 'Ghostik', 'Bignum', 'Slayer']","['Centaur Warrunner', 'Grimstroke', 'Medusa', 'Timbersaw', 'Lifestealer', 'Faceless Void', 'Phantom Lancer']","['Beastmaster', 'Mars', 'Void Spirit', 'Razor', 'Puck', 'Underlord', 'Pangolier']","['Wraith King', 'Queen of Pain', 'Necrophos', 'Tusk', 'Snapfire']","['Morphling', 'Storm Spirit', 'Doom', 'Lion', 'Phoenix']",,"<span class=""team__title-label"">Победа</span>",12 : 29
22,Winstrike Team vs Team Unique,1.76-1.99,1.06-8.00,-,23 Апреля 16:00 2021,ESL One Eastern Europe Online Season 2: Верхний дивизион,Winstrike Team,"['DyrachYO', 're1bl', 'chshrct', 'yamich', 'Pantomem']",Team Unique,"['Palantimos', 'fn', 'Ghostik', 'Bignum', 'Slayer']","['Beastmaster', 'Centaur Warrunner', 'Lifestealer', 'Razor', 'Lion', 'Legion Commander', 'Sand King']","['Mars', 'Snapfire', 'Wraith King', 'Viper', 'Troll Warlord', 'Death Prophet', 'Axe']","['Gyrocopter', 'Puck', 'Slardar', 'Phoenix', 'Tusk']","['Juggernaut', 'Doom', 'Magnus', 'Lina', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,33 : 17
23,Winstrike Team vs Team Unique,1.76-1.99,1.06-8.00,-,23 Апреля 16:00 2021,ESL One Eastern Europe Online Season 2: Верхний дивизион,Team Unique,"['Palantimos', 'fn', 'Ghostik', 'Bignum', 'Slayer']",Winstrike Team,"['DyrachYO', 're1bl', 'chshrct', 'yamich', 'Pantomem']","['Mars', 'Snapfire', 'Viper', 'Gyrocopter', 'Phoenix', 'Slardar', 'Razor']","['Beastmaster', 'Centaur Warrunner', 'Lion', 'Legion Commander', 'Timbersaw', 'Dark Seer', 'Tidehunter']","['Lifestealer', 'Void Spirit', 'Underlord', 'Earth Spirit', 'Grimstroke']","['Wraith King', 'Puck', 'Necrophos', 'Tusk', 'Ancient Apparition']",,"<span class=""team__title-label"">Победа</span>",6 : 18
24,Trident Clan vs Nemiga Gaming,5.05-1.15,5.80-1.11,-,23 Апреля 13:00 2021,ESL One Eastern Europe Online Season 2: Нижний дивизион,Trident Clan,"['road to top 1', 'бейби малышка', 'xx[xn`e]tacion', 'el Babito', 'antoha']",Nemiga Gaming,"['Капец)', 'Kiritych', 'TheChosenOne', 'Hellscream', 'Lodine']","['Beastmaster', 'Pangolier', 'Juggernaut', 'Skywrath Mage', 'Puck', 'Void Spirit', 'Death Prophet']","['Morphling', 'Io', 'Troll Warlord', 'Monkey King', 'Mars', 'Axe', 'Night Stalker']","['Lifestealer', 'Storm Spirit', 'Mirana', 'Tidehunter', 'Shadow Demon']","['Tiny', 'Phantom Assassin', 'Legion Commander', 'Lina', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",24 : 39
25,Trident Clan vs Nemiga Gaming,5.05-1.15,5.80-1.11,-,23 Апреля 13:00 2021,ESL One Eastern Europe Online Season 2: Нижний дивизион,Nemiga Gaming,"['Капец)', 'Kiritych', 'TheChosenOne', 'Hellscream', 'Lodine']",Trident Clan,"['el Babito', 'xx[xn`e]tacion', 'бейби малышка', 'road to top 1', 'antoha']","['Morphling', 'Io', 'Earth Spirit', 'Magnus', 'Razor', 'Tidehunter', 'Underlord']","['Pangolier', 'Beastmaster', 'Troll Warlord', 'Phantom Assassin', 'Faceless Void', 'Necrophos', 'Slardar']","['Mars', 'Medusa', 'Centaur Warrunner', 'Lina', 'Tusk']","['Doom', 'Mirana', 'Ember Spirit', 'Juggernaut', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,19 : 22
26,Vici Gaming vs Royal Never Give Up,1.75-2.09,6.25-1.10,-,23 Апреля 11:37 2021,i-League 2021,Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'Super']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Grimstroke', 'Snapfire', 'Juggernaut', 'Broodmother', 'Elder Titan', 'Oracle', 'Night Stalker']","['Visage', 'Nyx Assassin', ""Nature's Prophet"", 'Dark Seer', 'Phoenix', 'Tidehunter', 'Timbersaw']","['Terrorblade', 'Puck', 'Abaddon', 'Earth Spirit', 'Ancient Apparition']","['Spectre', 'Beastmaster', 'Doom', 'Lion', 'Death Prophet']",,"<span class=""team__title-label"">Победа</span>",12 : 30
27,Vici Gaming vs Royal Never Give Up,1.75-2.09,6.25-1.10,-,23 Апреля 11:37 2021,i-League 2021,Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'Super']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Grimstroke', 'Oracle', 'Lifestealer', 'Juggernaut', 'Death Prophet', 'Ancient Apparition', 'Storm Spirit']","['Beastmaster', 'Dark Seer', 'Phantom Lancer', 'Phoenix', 'Elder Titan', 'Puck', 'Void Spirit']","['Morphling', 'Snapfire', 'Mars', 'Tiny', 'Tidehunter']","['Luna', 'Huskar', 'Broodmother', 'Dazzle', 'Nyx Assassin']",,"<span class=""team__title-label"">Победа</span>",13 : 21
28,EHOME vs Sparking Arrow Gaming,1.12-6.71,1.07-7.50,-,23 Апреля 10:20 2021,Dota Pro Circuit 2021: Season 2 - China: Верхний дивизион,Sparking Arrow Gaming,"['idc', '7e', 'Srf', 'June', 'XCJ']",EHOME,"['Sylar', 'Xm', 'Chalice', 'Fade', 'xNova']","['Beastmaster', 'Mars', 'Doom', 'Wraith King', 'Troll Warlord', 'Lifestealer', 'Monkey King']","['Centaur Warrunner', 'Phoenix', 'Night Stalker', 'Weaver', 'Puck', 'Ursa', 'Morphling']","['Luna', 'Tiny', 'Mirana', 'Faceless Void', 'Elder Titan']","['Juggernaut', 'Storm Spirit', 'Tidehunter', 'Snapfire', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",16 : 36
29,EHOME vs Sparking Arrow Gaming,1.12-6.71,1.07-7.50,-,23 Апреля 10:20 2021,Dota Pro Circuit 2021: Season 2 - China: Верхний дивизион,EHOME,"['Sylar', 'Xm', 'Chalice', 'Fade', 'xNova']",Sparking Arrow Gaming,"['idc', '7e', 'Srf', 'June', 'XCJ']","['Beastmaster', 'Faceless Void', 'Morphling', 'Weaver', 'Ursa', 'Lina', 'Windranger']","['Mars', 'Grimstroke', 'Juggernaut', 'Lifestealer', 'Timbersaw', 'Terrorblade', 'Monkey King']","['Medusa', 'Razor', 'Pangolier', 'Shadow Shaman', 'Ogre Magi']","['Spectre', 'Mirana', 'Snapfire', 'Centaur Warrunner', 'Ancient Apparition']","<span class=""team__title-label"">Победа</span>",,28 : 12
30,LBZS vs Xtreme Gaming,1.24-3.82,1.20-4.20,-,23 Апреля 07:00 2021,Dota Pro Circuit 2021: Season 2 - China: Нижний дивизион,LBZS,"['lrving', 'Ms', 'ex', 'CatYou', 'xiaofu']",Xtreme Gaming,"['与世为敌', '儿皇', 'Storm', 'AYuNiD', 'Karkur']","['Beastmaster', 'Grimstroke', 'Death Prophet', 'Templar Assassin', 'Bloodseeker', 'Lina', 'Puck']","['Abaddon', 'Phoenix', 'Ursa', 'Timbersaw', 'Lifestealer', 'Terrorblade', 'Phantom Lancer']","['Pangolier', 'Anti-Mage', 'Void Spirit', 'Lion', 'Undying']","['Ancient Apparition', 'Medusa', 'Storm Spirit', 'Centaur Warrunner', 'Tusk']",,"<span class=""team__title-label"">Победа</span>",24 : 31
31,LBZS vs Xtreme Gaming,1.24-3.82,1.20-4.20,-,23 Апреля 07:00 2021,Dota Pro Circuit 2021: Season 2 - China: Нижний дивизион,LBZS,"['lrving', 'Ms', 'ex', 'CatYou', 'xiaofu']",Xtreme Gaming,"['与世为敌', '儿皇', 'Storm', 'AYuNiD', 'Karkur']","['Beastmaster', 'Grimstroke', 'Shadow Shaman', 'Templar Assassin', 'Monkey King', 'Mars', 'Centaur Warrunner']","['Abaddon', 'Phoenix', 'Ursa', 'Pangolier', 'Undying', 'Terrorblade', 'Phantom Lancer']","['Timbersaw', 'Anti-Mage', 'Puck', 'Lion', 'Clockwerk']","['Ancient Apparition', 'Medusa', 'Lina', 'Dragon Knight', 'Tusk']","<span class=""team__title-label"">Победа</span>",,31 : 9
32,LBZS vs Xtreme Gaming,1.24-3.82,1.20-4.20,-,23 Апреля 07:00 2021,Dota Pro Circuit 2021: Season 2 - China: Нижний дивизион,LBZS,"['lrving', 'Ms', 'ex', 'CatYou', 'xiaofu']",Xtreme Gaming,"['与世为敌', '儿皇', 'Storm', 'AYuNiD', 'Karkur']","['Timbersaw', 'Mars', 'Rubick', 'Pugna', 'Storm Spirit', 'Troll Warlord', 'Juggernaut']","['Lion', 'Puck', 'Ursa', 'Clockwerk', 'Abaddon', 'Batrider', 'Night Stalker']","['Viper', 'Phantom Lancer', 'Beastmaster', 'Tusk', 'Oracle']","['Ancient Apparition', 'Spectre', 'Templar Assassin', 'Dragon Knight', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,37 : 35
33,Team Undying vs simply TOOBASED,1.08-8.69,1.08-7.00,-,23 Апреля 01:10 2021,Dota Pro Circuit 2021: Season 2 - North America: Верхний дивизион,simply TOOBASED,"['terrace house', 'Boris', 'iAnnihilate', 'monkeys-forever', 'empyreaN']",Team Undying,"['Timado', 'bryle', 'SabeRLighT-', 'MoonMeander', 'DuBu']","['Morphling', 'Mars', 'Monkey King', 'Spectre', 'Pangolier', 'Razor', 'Slark']","['Broodmother', 'Beastmaster', 'Ursa', 'Wraith King', 'Juggernaut', 'Luna', 'Troll Warlord']","['Earth Spirit', 'Gyrocopter', 'Void Spirit', 'Timbersaw', 'Abaddon']","['Faceless Void', 'Puck', 'Slardar', 'Mirana', 'Warlock']",,"<span class=""team__title-label"">Победа</span>",9 : 32
34,Team Undying vs simply TOOBASED,1.08-8.69,1.08-7.00,-,23 Апреля 01:10 2021,Dota Pro Circuit 2021: Season 2 - North America: Верхний дивизион,Team Undying,"['Timado', 'bryle', 'SabeRLighT-', 'MoonMeander', 'DuBu']",simply TOOBASED,"['terrace house', 'Boris', 'iAnnihilate', 'monkeys-forever', 'empyreaN']","['Broodmother', 'Centaur Warrunner', 'Timbersaw', 'Storm Spirit', 'Phantom Lancer', 'Invoker', 'Kunkka']","['Morphling', 'Puck', 'Tusk', 'Troll Warlord', 'Viper', 'Anti-Mage', 'Naga Siren']","['Weaver', 'Beastmaster', 'Tidehunter', 'Dark Willow', 'Undying']","['Earth Spirit', 'Wraith King', 'Rubick', 'Death Prophet', 'Warlock']","<span class=""team__title-label"">Победа</span>",,30 : 14
