,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
1488,Team MagMa vs Team Aster,9.37-1.07,6.25-1.10,-,08 Мая 11:11 2021,i-League 2021,Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']",Team MagMa,"['wish safe health', 'Dust', 'Tzy', 'mianmian', 'Kazz']","['Elder Titan', 'Snapfire', 'Clockwerk', 'Nyx Assassin', 'Ancient Apparition', 'Tusk', 'Earth Spirit']","['Abaddon', 'Magnus', 'Queen of Pain', 'Axe', 'Mars', 'Windranger', 'Lina']","['Sven', 'Bristleback', 'Legion Commander', 'Io', 'Gyrocopter']","['Faceless Void', 'Razor', 'Broodmother', 'Lion', 'Lich']",,"<span class=""team__title-label"">Победа</span>",16 : 28
1489,Team MagMa vs Team Aster,9.37-1.07,6.25-1.10,-,08 Мая 11:11 2021,i-League 2021,Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']",Team MagMa,"['wish safe health', 'Dust', 'Tzy', 'mianmian', 'Kazz']","['Elder Titan', 'Razor', 'Viper', 'Shadow Demon', 'Io', 'Templar Assassin', 'Void Spirit']","['Abaddon', 'Magnus', 'Bristleback', 'Mars', 'Axe', 'Brewmaster', 'Dark Seer']","['Troll Warlord', 'Puck', 'Batrider', 'Grimstroke', 'Nyx Assassin']","['Gyrocopter', 'Morphling', 'Broodmother', 'Winter Wyvern', 'Dragon Knight']","<span class=""team__title-label"">Победа</span>",,37 : 13
1490,Team MagMa vs Team Aster,9.37-1.07,6.25-1.10,-,08 Мая 11:11 2021,i-League 2021,Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']",Team MagMa,"['wish safe health', 'Dust', 'Tzy', 'mianmian', 'Kazz']","['Elder Titan', 'Io', 'Legion Commander', 'Invoker', 'Grimstroke', 'Earth Spirit', 'Tusk']","['Broodmother', 'Nyx Assassin', 'Axe', 'Slardar', 'Drow Ranger', 'Lion', 'Shadow Shaman']","['Spectre', 'Shadow Fiend', 'Beastmaster', 'Tidehunter', 'Enchantress']","['Faceless Void', 'Viper', 'Underlord', 'Puck', 'Ancient Apparition']","<span class=""team__title-label"">Победа</span>",,28 : 16
1491,Execration vs T1,-,2.00-1.76,-,08 Мая 10:07 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Execration,"['Palos', 'Yowe', 'Nikko', 'BDz', 'Rr']","['Centaur Warrunner', 'Abaddon', 'Morphling', 'Snapfire', 'Phoenix', 'Bristleback', 'Queen of Pain']","['Timbersaw', 'Puck', 'Nyx Assassin', 'Batrider', 'Medusa', 'Drow Ranger', 'Troll Warlord']","['Terrorblade', 'Doom', 'Razor', 'Tusk', 'Enchantress']","['Gyrocopter', 'Leshrac', 'Slardar', 'Io', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,30 : 10
1492,Execration vs T1,-,2.00-1.76,-,08 Мая 10:07 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,Execration,"['Palos', 'Yowe', 'Nikko', 'BDz', 'Rr']",T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Timbersaw', 'Centaur Warrunner', 'Enchantress', 'Phoenix', 'Puck', 'Lion', 'Oracle']","['Bristleback', 'Nyx Assassin', 'Phantom Lancer', 'Morphling', 'Terrorblade', 'Troll Warlord', 'Gyrocopter']","['Slark', 'Sand King', 'Doom', 'Grimstroke', 'Elder Titan']","['Medusa', 'Batrider', 'Broodmother', 'Snapfire', 'Tusk']","<span class=""team__title-label"">Победа</span>",,31 : 19
1493,Execration vs T1,-,2.00-1.76,-,08 Мая 10:07 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Верхний Дивизион,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Execration,"['Palos', 'Yowe', 'Nikko', 'BDz', 'Rr']","['Centaur Warrunner', 'Elder Titan', 'Sand King', 'Bristleback', 'Tiny', 'Earth Spirit', 'Nyx Assassin']","['Timbersaw', 'Enchantress', 'Phantom Lancer', 'Ursa', 'Medusa', 'Juggernaut', 'Lifestealer']","['Faceless Void', 'Puck', 'Doom', 'Snapfire', 'Lion']","['Morphling', 'Void Spirit', 'Dark Seer', 'Tusk', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,35 : 19
1494,Elephant vs Team Aster,4.71-1.20,5.00-1.15,-,08 Мая 09:00 2021,i-League 2021,Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']",Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'RedPanda']","['Nyx Assassin', 'Death Prophet', 'Morphling', 'Faceless Void', 'Razor', 'Storm Spirit', 'Puck']","['Enchantress', 'Treant Protector', 'Spectre', 'Dark Seer', 'Lifestealer', 'Broodmother', 'Pangolier']","['Ursa', 'Leshrac', 'Brewmaster', 'Lion', 'Abaddon']","['Luna', 'Gyrocopter', 'Mars', 'Shadow Demon', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,25 : 17
1495,Elephant vs Team Aster,4.71-1.20,5.00-1.15,-,08 Мая 09:00 2021,i-League 2021,Elephant,"['Eurus', 'Somnus`M', 'Yang', 'fy', 'RedPanda']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Nyx Assassin', 'Enchantress', 'Mars', 'Centaur Warrunner', 'Phoenix', 'Legion Commander', 'Pangolier']","['Elder Titan', 'Death Prophet', 'Ancient Apparition', 'Morphling', 'Broodmother', 'Phantom Lancer', 'Weaver']","['Drow Ranger', 'Leshrac', 'Tidehunter', 'Lion', 'Abaddon']","['Huskar', 'Razor', 'Axe', 'Dazzle', 'Treant Protector']",,"<span class=""team__title-label"">Победа</span>",10 : 22
1496,Cignal Ultra vs Galaxy Racer Esports,-,11.00-1.02,-,08 Мая 07:04 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Нижний Дивизион,Galaxy Racer Esports,"['AlaCrity', 'Meracle', 'kYxY', 'Poloson', '343']",Cignal Ultra,"['Ab1ng', 'Jamesy', 'Van', 'Erice', 'Grimzx']",[],[],"['Storm Spirit', 'Morphling', 'Tusk', 'Visage', 'Snapfire']","['Gyrocopter', 'Tiny', 'Centaur Warrunner', 'Nyx Assassin', 'Keeper of the Light']","<span class=""team__title-label"">Победа</span>",,29 : 15
1497,Cignal Ultra vs Galaxy Racer Esports,-,11.00-1.02,-,08 Мая 07:04 2021,Dota Pro Circuit 2021: Season 2 - Southeast Asia Нижний Дивизион,Cignal Ultra,"['Ab1ng', 'Jamesy', 'Van', 'Erice', 'Grimzx']",Galaxy Racer Esports,"['AlaCrity', 'kYxY', 'Meracle', 'Poloson', '343']","['Puck', 'Enchantress', 'Timbersaw', 'Medusa', 'Batrider', 'Terrorblade', 'Templar Assassin']","['Lion', 'Nyx Assassin', 'Troll Warlord', 'Ursa', 'Phantom Assassin', 'Storm Spirit', 'Void Spirit']","['Axe', 'Lina', 'Slardar', 'Shadow Shaman', 'Dazzle']","['Ember Spirit', 'Tusk', 'Morphling', 'Oracle', 'Snapfire']",,"<span class=""team__title-label"">Победа</span>",14 : 40
1498,Hokori vs SG e-sports,3.71-1.25,3.75-1.25,-,08 Мая 01:06 2021,OGA DPC South America Regional League Season 2: Верхний Дивизион,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",Hokori,"['Miau', '26', 'Mizuki', 'Lumière', 'the demons told me']","['Nyx Assassin', 'Mirana', 'Dragon Knight', 'Invoker', 'Juggernaut', 'Death Prophet', 'Huskar']","['Centaur Warrunner', 'Beastmaster', 'Troll Warlord', 'Puck', 'Timbersaw', 'Viper', 'Storm Spirit']","['Sven', 'Mars', 'Enigma', 'Lion', 'Treant Protector']","['Tiny', 'Broodmother', 'Oracle', 'Ursa', 'Bristleback']",,"<span class=""team__title-label"">Победа</span>",18 : 27
1499,Hokori vs SG e-sports,3.71-1.25,3.75-1.25,-,08 Мая 01:06 2021,OGA DPC South America Regional League Season 2: Верхний Дивизион,Hokori,"['26', 'Mizuki', 'Miau', 'Lumière', 'the demons told me']",SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']","['Centaur Warrunner', 'Beastmaster', 'Queen of Pain', 'Lifestealer', 'Spectre', 'Puck', 'Void Spirit']","['Broodmother', 'Nyx Assassin', 'Juggernaut', 'Snapfire', 'Ursa', 'Enigma', 'Bloodseeker']","['Leshrac', 'Winter Wyvern', 'Tiny', 'Troll Warlord', 'Invoker']","['Slark', 'Razor', 'Mars', 'Phoenix', 'Enchantress']",,"<span class=""team__title-label"">Победа</span>",14 : 37
