match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
PSG.LGD vs Team Spirit,1.41-2.93,1.06-8.00,-,10 Сентября 19:10 2021,OGA Dota PIT Invitational,Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']",PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']","['Monkey King', 'Clinkz', 'Beastmaster', 'Lycan', 'Tidehunter', 'Venomancer', 'Night Stalker']","['Keeper of the Light', 'Bane', 'Faceless Void', 'Gyrocopter', 'Dark Willow', 'Bloodseeker', 'Earthshaker']","['Sven', 'Queen of Pain', 'Sand King', 'Vengeful Spirit', 'Shadow Demon']","['Slark', 'Batrider', 'Underlord', 'Io', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,28 : 14
PSG.LGD vs Team Spirit,1.41-2.93,1.06-8.00,-,10 Сентября 19:10 2021,OGA Dota PIT Invitational,PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Bloodseeker', 'Keeper of the Light', 'Troll Warlord', 'Gyrocopter', 'Medusa', 'Tidehunter', 'Sand King']","['Clinkz', 'Bane', 'Slark', 'Omniknight', 'Leshrac', 'Terrorblade', 'Morphling']","['Sven', 'Pangolier', 'Beastmaster', 'Monkey King', 'Oracle']","['Luna', 'Batrider', 'Night Stalker', 'Vengeful Spirit', 'Hoodwink']","<span class=""team__title-label"">Победа</span>",,27 : 12
PSG.LGD vs Team Spirit,1.41-2.93,1.06-8.00,-,10 Сентября 19:10 2021,OGA Dota PIT Invitational,Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']",PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']","['Clinkz', 'Monkey King', 'Io', 'Slark', 'Sven', 'Medusa', 'Terrorblade']","['Bloodseeker', 'Keeper of the Light', 'Void Spirit', 'Luna', 'Morphling', 'Winter Wyvern', 'Phoenix']","['Gyrocopter', 'Storm Spirit', 'Tidehunter', 'Shadow Demon', 'Omniknight']","['Faceless Void', 'Pangolier', 'Vengeful Spirit', 'Mirana', 'Bane']",,"<span class=""team__title-label"">Победа</span>",16 : 33
PSG.LGD vs Team Spirit,1.41-2.93,1.06-8.00,-,10 Сентября 19:10 2021,OGA Dota PIT Invitational,PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Bloodseeker', 'Keeper of the Light', 'Shadow Demon', 'Faceless Void', 'Morphling', 'Troll Warlord', 'Terrorblade']","['Clinkz', 'Monkey King', 'Io', 'Vengeful Spirit', 'Leshrac', 'Night Stalker', 'Sand King']","['Sven', 'Necrophos', 'Pangolier', 'Snapfire', 'Bane']","['Ember Spirit', 'Templar Assassin', 'Tidehunter', 'Mirana', 'Winter Wyvern']","<span class=""team__title-label"">Победа</span>",,30 : 16
Execration vs Polaris Esports,1.33-3.14,7.20(1.87)2.28,-,10 Сентября 16:50 2021,BTS Pro Series Season 8: Southeast Asia,Polaris Esports,"['Natsumi-', 'Mac', 'Nikko', 'Boomy', 'cml']",Execration,"['666', 'Ao', 'Tino', 'BDz', 'Rr']","['Keeper of the Light', 'Vengeful Spirit', 'Batrider', 'Lycan', 'Templar Assassin', 'Sniper', 'Troll Warlord']","['Night Stalker', 'Omniknight', 'Storm Spirit', 'Void Spirit', 'Kunkka', 'Tiny', 'Ember Spirit']","['Clinkz', 'Invoker', 'Tidehunter', 'Mirana', 'Bane']","['Pugna', 'Lina', 'Monkey King', 'Earth Spirit', 'Pangolier']","<span class=""team__title-label"">Победа</span>",,45 : 12
Execration vs Polaris Esports,1.33-3.14,7.20(1.87)2.28,-,10 Сентября 16:50 2021,BTS Pro Series Season 8: Southeast Asia,Execration,"['Ao', '666', 'Tino', 'BDz', 'Rr']",Polaris Esports,"['Natsumi-', 'Mac', 'Nikko', 'Boomy', 'cml']","['Omniknight', 'Night Stalker', 'Leshrac', 'Batrider', 'Doom', 'Venomancer', 'Legion Commander']","['Vengeful Spirit', 'Keeper of the Light', 'Silencer', 'Brewmaster', 'Tidehunter', 'Ember Spirit', 'Invoker']","['Storm Spirit', 'Beastmaster', 'Templar Assassin', 'Snapfire', 'Pangolier']","['Bloodseeker', 'Puck', 'Winter Wyvern', 'Tiny', 'Bane']","<span class=""team__title-label"">Победа</span>",,41 : 32
Dream Maker vs Yangon Galacticos,1.42-2.93,2.50(1.76)6.80,-,10 Сентября 14:30 2021,BTS Pro Series Season 8: Southeast Asia,Yangon Galacticos,"['HAW', 'Young PH', 'LuN', 'Skill Lay', 'Zawrain']",Dream Maker,"['Chidori~', 'Rosieareroses', 'Nevermine', 'Czy', 'TrazaM']","['Night Stalker', 'Keeper of the Light', 'Bloodseeker', 'Bane', 'Kunkka', 'Leshrac', 'Ember Spirit']","['Abaddon', 'Omniknight', 'Dark Seer', 'Morphling', 'Viper', 'Puck', 'Invoker']","['Phantom Lancer', 'Queen of Pain', 'Pangolier', 'Earth Spirit', 'Beastmaster']","['Clinkz', 'Storm Spirit', 'Tidehunter', 'Vengeful Spirit', 'Tusk']","<span class=""team__title-label"">Победа</span>",,43 : 29
Dream Maker vs Yangon Galacticos,1.42-2.93,2.50(1.76)6.80,-,10 Сентября 14:30 2021,BTS Pro Series Season 8: Southeast Asia,Yangon Galacticos,"['HAW', 'Young PH', 'LuN', 'Skill Lay', 'Zawrain']",Dream Maker,"['Chidori~', 'Rosieareroses', 'Nevermine', 'Czy', 'TrazaM']","['Night Stalker', 'Keeper of the Light', 'Kunkka', 'Bloodseeker', 'Tidehunter', 'Lina', 'Skywrath Mage']","['Abaddon', 'Omniknight', 'Morphling', 'Puck', 'Phantom Lancer', 'Invoker', 'Queen of Pain']","['Anti-Mage', 'Ember Spirit', 'Pangolier', 'Mirana', 'Beastmaster']","['Clinkz', 'Storm Spirit', 'Slardar', 'Vengeful Spirit', 'Sand King']","<span class=""team__title-label"">Победа</span>",,33 : 11
Galaxy Racer Esports vs BOOM Esports,1.50-2.63,6.20(1.92)2.31,-,10 Сентября 12:20 2021,BTS Pro Series Season 8: Southeast Asia,BOOM Esports,"['Palos', 'Yopaj', 'Fbz', 'skem', 'PlayHard']",Galaxy Racer Esports,"['inYourdreaM', 'AlaCrity', 'Meracle', 'Poloson', 'Jhocam']","['Keeper of the Light', 'Vengeful Spirit', 'Monkey King', 'Templar Assassin', 'Clinkz', 'Tidehunter', 'Brewmaster']","['Omniknight', 'Gyrocopter', 'Beastmaster', 'Invoker', 'Sven', 'Batrider', 'Kunkka']","['Bloodseeker', 'Earth Spirit', 'Lycan', 'Bane', 'Pangolier']","['Medusa', 'Ember Spirit', 'Night Stalker', 'Elder Titan', 'Rubick']","<span class=""team__title-label"">Победа</span>",,36 : 23
Galaxy Racer Esports vs BOOM Esports,1.50-2.63,6.20(1.92)2.31,-,10 Сентября 12:20 2021,BTS Pro Series Season 8: Southeast Asia,Galaxy Racer Esports,"['inYourdreaM', 'AlaCrity', 'Meracle', 'Poloson', 'Jhocam']",BOOM Esports,"['Palos', 'Yopaj', 'Fbz', 'skem', 'PlayHard']","['Omniknight', 'Gyrocopter', 'Batrider', 'Invoker', 'Beastmaster', 'Queen of Pain', 'Tiny']","['Vengeful Spirit', 'Night Stalker', 'Legion Commander', 'Tidehunter', 'Brewmaster', 'Lina', 'Storm Spirit']","['Monkey King', 'Void Spirit', 'Outworld Destroyer', 'Bane', 'Pangolier']","['Bloodseeker', 'Puck', 'Mars', 'Io', 'Mirana']",,"<span class=""team__title-label"">Победа</span>",24 : 43
