match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
Team SMG vs OB Esports x Neon,1.35-3.24,1.85(1.90)23.00,-,10 Сентября 10:10 2021,BTS Pro Series Season 8: Southeast Asia,OB Esports x Neon,"['458', 'Mikoto', 'X1aOyU', 'Hustla', 'Jaunuel']",Team SMG,"['MidOne', 'Moon', 'kpii', 'ah fu', 'Roddgeee']","['Vengeful Spirit', 'Beastmaster', 'Bloodseeker', 'Templar Assassin', 'Batrider', 'Invoker', 'Kunkka']","['Keeper of the Light', 'Nyx Assassin', 'Lycan', 'Sven', 'Clinkz', 'Storm Spirit', 'Io']","['Slark', 'Lina', 'Night Stalker', 'Skywrath Mage', 'Clockwerk']","['Monkey King', 'Silencer', 'Elder Titan', 'Shadow Demon', 'Pangolier']",,"<span class=""team__title-label"">Победа</span>",34 : 50
Team SMG vs OB Esports x Neon,1.35-3.24,1.85(1.90)23.00,-,10 Сентября 10:10 2021,BTS Pro Series Season 8: Southeast Asia,OB Esports x Neon,"['458', 'Mikoto', 'X1aOyU', 'Hustla', 'Jaunuel']",Team SMG,"['MidOne', 'Moon', 'kpii', 'ah fu', 'Roddgeee']","['Vengeful Spirit', 'Keeper of the Light', 'Shadow Demon', 'Invoker', 'Bane', 'Winter Wyvern', 'Lion']","['Night Stalker', 'Nyx Assassin', 'Sven', 'Clinkz', 'Gyrocopter', 'Phoenix', 'Mirana']","['Troll Warlord', 'Storm Spirit', 'Mars', 'Lina', 'Pangolier']","['Monkey King', 'Void Spirit', 'Lycan', 'Grimstroke', 'Bloodseeker']",,"<span class=""team__title-label"">Победа</span>",26 : 42
Tundra Esports vs Team Spirit,1.71-2.16,7.00-1.08,-,09 Сентября 19:10 2021,OGA Dota PIT Invitational,Tundra Esports,"['Skiter', 'Nine', '33', 'Sneyking', 'FATA-']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Bloodseeker', 'Keeper of the Light', 'Tidehunter', 'Mars', 'Phoenix', 'Axe', 'Void Spirit']","['Batrider', 'Night Stalker', 'Shadow Demon', 'Omniknight', 'Earthshaker', 'Lina', 'Tinker']","['Faceless Void', 'Invoker', 'Lycan', 'Snapfire', 'Gyrocopter']","['Monkey King', 'Ember Spirit', 'Magnus', 'Dark Willow', 'Bane']",,"<span class=""team__title-label"">Победа</span>",25 : 29
Tundra Esports vs Team Spirit,1.71-2.16,7.00-1.08,-,09 Сентября 19:10 2021,OGA Dota PIT Invitational,Tundra Esports,"['Skiter', 'Nine', '33', 'Sneyking', 'FATA-']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Bloodseeker', 'Keeper of the Light', 'Phoenix', 'Monkey King', 'Phantom Assassin', 'Phantom Lancer', 'Sven']","['Batrider', 'Night Stalker', 'Omniknight', 'Winter Wyvern', 'Luna', 'Leshrac', 'Tinker']","['Slark', 'Ember Spirit', 'Lycan', 'Shadow Demon', 'Gyrocopter']","['Magnus', 'Void Spirit', 'Sand King', 'Dark Willow', 'Bane']",,"<span class=""team__title-label"">Победа</span>",17 : 36
Execration vs Dream Maker,1.70-2.18,1.62(2.65)9.00,-,09 Сентября 17:00 2021,BTS Pro Series Season 8: Southeast Asia,Execration,"['666', 'Ao', 'Tino', 'BDz', 'Rr']",Dream Maker,"['Chidori~', 'Rosieareroses', 'Nevermine', 'Czy', 'TrazaM']","['Pangolier', 'Lycan', 'Beastmaster', 'Void Spirit', 'Phoenix', 'Invoker', 'Batrider']","['Keeper of the Light', 'Omniknight', 'Templar Assassin', 'Sven', 'Puck', 'Ogre Magi', 'Abaddon']","['Night Stalker', 'Leshrac', 'Undying', 'Monkey King', 'Lion']","['Clinkz', 'Windranger', 'Tidehunter', 'Vengeful Spirit', 'Mars']","<span class=""team__title-label"">Победа</span>",,38 : 15
Execration vs Dream Maker,1.70-2.18,1.62(2.65)9.00,-,09 Сентября 17:00 2021,BTS Pro Series Season 8: Southeast Asia,Execration,"['Ao', '666', 'Tino', 'BDz', 'Rr']",Dream Maker,"['Chidori~', 'Rosieareroses', 'Nevermine', 'Czy', 'TrazaM']","['Pangolier', 'Omniknight', 'Sven', 'Lina', 'Invoker', 'Storm Spirit', 'Queen of Pain']","['Keeper of the Light', 'Vengeful Spirit', 'Tidehunter', 'Medusa', 'Leshrac', 'Troll Warlord', 'Night Stalker']","['Batrider', 'Lycan', 'Templar Assassin', 'Lion', 'Abaddon']","['Clinkz', 'Void Spirit', 'Sand King', 'Mirana', 'Silencer']","<span class=""team__title-label"">Победа</span>",,37 : 28
OB Esports x Neon vs BOOM Esports,1.63-2.31,19.00(2.30)1.60,-,09 Сентября 14:40 2021,BTS Pro Series Season 8: Southeast Asia,BOOM Esports,"['Palos', 'Yopaj', 'Fbz', 'skem', 'PlayHard']",OB Esports x Neon,"['458', 'Mikoto', 'X1aOyU', 'Hustla', 'Jaunuel']","['Vengeful Spirit', 'Night Stalker', 'Slark', 'Sven', 'Morphling', 'Phoenix', 'Skywrath Mage']","['Pangolier', 'Lycan', 'Invoker', 'Beastmaster', 'Rubick', 'Kunkka', 'Tiny']","['Gyrocopter', 'Zeus', 'Mars', 'Omniknight', 'Mirana']","['Faceless Void', 'Lina', 'Tidehunter', 'Nyx Assassin', 'Shadow Demon']","<span class=""team__title-label"">Победа</span>",,25 : 6
OB Esports x Neon vs BOOM Esports,1.63-2.31,19.00(2.30)1.60,-,09 Сентября 14:40 2021,BTS Pro Series Season 8: Southeast Asia,BOOM Esports,"['Palos', 'Yopaj', 'Fbz', 'skem', 'PlayHard']",OB Esports x Neon,"['458', 'Mikoto', 'X1aOyU', 'Hustla', 'Jaunuel']","['Vengeful Spirit', 'Lina', 'Sven', 'Slark', 'Templar Assassin', 'Storm Spirit', 'Void Spirit']","['Omniknight', 'Gyrocopter', 'Invoker', 'Batrider', 'Bloodseeker', 'Lifestealer', 'Phantom Lancer']","['Magnus', 'Kunkka', 'Pangolier', 'Bane', 'Mirana']","['Lycan', 'Monkey King', 'Night Stalker', 'Keeper of the Light', 'Spirit Breaker']",,"<span class=""team__title-label"">Победа</span>",32 : 38
Motivate.Trust Gaming vs Army Geniuses,1.88-1.94,1.60(2.60)10.00,-,09 Сентября 12:10 2021,BTS Pro Series Season 8: Southeast Asia,Army Geniuses,"['►懒惰之神♂', 'ridiculous', 'stan mygirl', 'Mamang Daya', 'you_K']",Motivate.Trust Gaming,"['เสือเองคร้าบ', 'JaCkky', 'Masaros', 'Q', 'Boombell']","['Keeper of the Light', 'Omniknight', 'Bloodseeker', 'Phantom Lancer', 'Slark', 'Lifestealer', 'Medusa']","['Lycan', 'Vengeful Spirit', 'Clinkz', 'Mars', 'Lina', 'Legion Commander', 'Nyx Assassin']","['Sven', 'Venomancer', 'Pangolier', 'Queen of Pain', 'Bane']","['Leshrac', 'Terrorblade', 'Batrider', 'Monkey King', 'Shadow Demon']",,"<span class=""team__title-label"">Победа</span>",12 : 28
Motivate.Trust Gaming vs Army Geniuses,1.88-1.94,1.60(2.60)10.00,-,09 Сентября 12:10 2021,BTS Pro Series Season 8: Southeast Asia,Army Geniuses,"['►懒惰之神♂', 'ridiculous', 'stan mygirl', 'Mamang Daya', 'you_K']",Motivate.Trust Gaming,"['เสือเองคร้าบ', 'JaCkky', 'Masaros', 'Q', 'Boombell']","['Omniknight', 'Keeper of the Light', 'Storm Spirit', 'Terrorblade', 'Luna', 'Shadow Demon', 'Phoenix']","['Lycan', 'Bloodseeker', 'Phantom Lancer', 'Weaver', 'Slark', 'Lifestealer', 'Juggernaut']","['Leshrac', 'Vengeful Spirit', 'Monkey King', 'Queen of Pain', 'Abaddon']","['Lina', 'Gyrocopter', 'Batrider', 'Mars', 'Pangolier']",,"<span class=""team__title-label"">Победа</span>",31 : 46
Team SMG vs Yangon Galacticos,1.45-2.77,1.44(3.05)12.00,-,09 Сентября 10:10 2021,BTS Pro Series Season 8: Southeast Asia,Yangon Galacticos,"['HAW', 'Young PH', 'LuN', 'Skill Lay', 'Zawrain']",Team SMG,"['MidOne', 'Moon', 'kpii', 'ah fu', 'Roddgeee']","['Keeper of the Light', 'Silencer', 'Monkey King', 'Pangolier', 'Vengeful Spirit', 'Mars', 'Lifestealer']","['Night Stalker', 'Earthshaker', 'Clinkz', 'Lycan', 'Phantom Lancer', 'Batrider', 'Storm Spirit']","['Sven', 'Puck', 'Lion', 'Io', 'Timbersaw']","['Templar Assassin', 'Winter Wyvern', 'Venomancer', 'Alchemist', 'Abaddon']",,"<span class=""team__title-label"">Победа</span>",6 : 20
Team SMG vs Yangon Galacticos,1.45-2.77,1.44(3.05)12.00,-,09 Сентября 10:10 2021,BTS Pro Series Season 8: Southeast Asia,Yangon Galacticos,"['HAW', 'Young PH', 'LuN', 'Skill Lay', 'Zawrain']",Team SMG,"['MidOne', 'Moon', 'kpii', 'ah fu', 'Roddgeee']","['Keeper of the Light', 'Silencer', 'Phantom Lancer', 'Batrider', 'Vengeful Spirit', 'Legion Commander', 'Venomancer']","['Shadow Demon', 'Night Stalker', 'Bane', 'Pangolier', 'Templar Assassin', 'Dark Seer', 'Beastmaster']","['Clinkz', 'Storm Spirit', 'Clockwerk', 'Earth Spirit', 'Bloodseeker']","['Sven', 'Tiny', 'Tinker', 'Earthshaker', 'Invoker']","<span class=""team__title-label"">Победа</span>",,40 : 32
B8 vs Spider Pigzs,2.63-1.45,1.32-3.20,-,08 Сентября 21:10 2021,Dota 2 Champions League 2021 Season 3,B8,"['watson', 'Dendi', 'Limitless', 'TSA', 'Gatciy']",Spider Pigzs,"['lil pleb', 'No!ob', 'Funn1k', 'dnz', 'LeBron']","['Pangolier', 'Sven', 'Medusa', 'Phantom Lancer', 'Void Spirit', 'Batrider', 'Storm Spirit']","['Shadow Demon', 'Keeper of the Light', 'Undying', 'Clinkz', 'Slark', 'Morphling', 'Luna']","['Monkey King', 'Viper', 'Beastmaster', 'Lina', 'Elder Titan']","['Gyrocopter', 'Snapfire', 'Tidehunter', 'Mirana', 'Chen']","<span class=""team__title-label"">Победа</span>",,26 : 18
B8 vs Spider Pigzs,2.63-1.45,1.32-3.20,-,08 Сентября 21:10 2021,Dota 2 Champions League 2021 Season 3,Spider Pigzs,"['lil pleb', 'No!ob', 'Funn1k', 'LeBron', 'dnz']",B8,"['watson', 'Dendi', 'Limitless', 'TSA', 'Gatciy']","['Shadow Demon', 'Beastmaster', 'Faceless Void', 'Undying', 'Elder Titan', 'Juggernaut', 'Anti-Mage']","['Pangolier', 'Sven', 'Medusa', 'Slark', 'Bloodseeker', 'Queen of Pain', 'Void Spirit']","['Phantom Lancer', 'Death Prophet', 'Sand King', 'Treant Protector', 'Keeper of the Light']","['Monkey King', 'Batrider', 'Night Stalker', 'Lina', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",16 : 41
Team Spirit vs T1,2.03-1.80,1.03-10.00,-,08 Сентября 20:41 2021,OGA Dota PIT Invitational,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Tidehunter', 'Bloodseeker', 'Vengeful Spirit', 'Terrorblade', 'Storm Spirit', 'Ember Spirit', 'Viper']","['Bane', 'Batrider', 'Doom', 'Lycan', 'Treant Protector', 'Lina', 'Leshrac']","['Luna', 'Razor', 'Beastmaster', 'Shadow Demon', 'Disruptor']","['Gyrocopter', 'Invoker', 'Night Stalker', 'Lion', 'Keeper of the Light']",,"<span class=""team__title-label"">Победа</span>",24 : 42
Team Spirit vs T1,2.03-1.80,1.03-10.00,-,08 Сентября 20:41 2021,OGA Dota PIT Invitational,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Night Stalker', 'Keeper of the Light', 'Tidehunter', 'Beastmaster', 'Bloodseeker', 'Invoker', 'Storm Spirit']","['Omniknight', 'Vengeful Spirit', 'Doom', 'Monkey King', 'Sven', 'Lina', 'Batrider']","['Lifestealer', 'Leshrac', 'Magnus', 'Shadow Demon', 'Lich']","['Gyrocopter', 'Void Spirit', 'Axe', 'Phoenix', 'Bane']",,"<span class=""team__title-label"">Победа</span>",9 : 31
PSG.LGD vs Tundra Esports,1.74-2.02,1.03-10.00,-,08 Сентября 18:40 2021,OGA Dota PIT Invitational,Tundra Esports,"['Skiter', 'Nine', '33', 'Sneyking', 'FATA-']",PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']","['Io', 'Vengeful Spirit', 'Beastmaster', 'Pangolier', 'Tidehunter', 'Faceless Void', 'Slark']","['Batrider', 'Keeper of the Light', 'Luna', 'Gyrocopter', 'Troll Warlord', 'Storm Spirit', 'Void Spirit']","['Sven', 'Dark Seer', 'Night Stalker', 'Shadow Demon', 'Jakiro']","['Bloodseeker', 'Venomancer', 'Lycan', 'Monkey King', 'Bane']",,"<span class=""team__title-label"">Победа</span>",9 : 30
PSG.LGD vs Tundra Esports,1.74-2.02,1.03-10.00,-,08 Сентября 18:40 2021,OGA Dota PIT Invitational,PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']",Tundra Esports,"['Skiter', 'Nine', '33', 'Sneyking', 'FATA-']","['Keeper of the Light', 'Gyrocopter', 'Troll Warlord', 'Medusa', 'Luna', 'Tidehunter', 'Brewmaster']","['Io', 'Monkey King', 'Phantom Lancer', 'Silencer', 'Sven', 'Spectre', 'Slark']","['Morphling', 'Batrider', 'Beastmaster', 'Snapfire', 'Elder Titan']","['Clinkz', 'Oracle', 'Vengeful Spirit', 'Lion', 'Abaddon']","<span class=""team__title-label"">Победа</span>",,26 : 8
HellRaisers vs qwerty44,1.06-8.45,1.04-9.30,-,08 Сентября 18:10 2021,Dota 2 Champions League 2021 Season 3,qwerty44,"['kom4rt', 'USHUSHUSH', 'Airu', 'Petru44o', 'Fezor']",HellRaisers,"['Resolut1on', 're1bl', '9pasha', 'Zayac', 'ALWAYSWANNAFLY']","['Keeper of the Light', 'Sven', 'Storm Spirit', 'Templar Assassin', 'Invoker', 'Monkey King', 'Slark']","['Omniknight', 'Lina', 'Clinkz', 'Enchantress', 'Phantom Lancer', 'Sand King', 'Viper']","['Sniper', 'Pangolier', 'Bloodseeker', 'Hoodwink', 'Undying']","['Spectre', 'Ember Spirit', 'Beastmaster', 'Shadow Demon', 'Phoenix']",,"<span class=""team__title-label"">Победа</span>",24 : 32
HellRaisers vs qwerty44,1.06-8.45,1.04-9.30,-,08 Сентября 18:10 2021,Dota 2 Champions League 2021 Season 3,HellRaisers,"['Resolut1on', 're1bl', '9pasha', 'Zayac', 'ALWAYSWANNAFLY']",qwerty44,"['kom4rt', 'USHUSHUSH', 'Airu', 'Petru44o', 'Fezor']","['Keeper of the Light', 'Lina', 'Night Stalker', 'Tidehunter', 'Beastmaster', 'Invoker', 'Queen of Pain']","['Sven', 'Shadow Demon', 'Leshrac', 'Puck', 'Ember Spirit', 'Faceless Void', 'Monkey King']","['Gyrocopter', 'Storm Spirit', 'Vengeful Spirit', 'Undying', 'Phoenix']","['Phantom Lancer', 'Pangolier', 'Bloodseeker', 'Hoodwink', 'Bane']","<span class=""team__title-label"">Победа</span>",,33 : 27
Motivate.Trust Gaming vs BOOM Esports,1.41-2.96,8.20(1.90)2.16,-,08 Сентября 16:30 2021,BTS Pro Series Season 8: Southeast Asia,Motivate.Trust Gaming,"['เสือเองคร้าบ', 'JaCkky', 'Masaros', 'Q', 'Boombell']",BOOM Esports,"['Palos', 'Yopaj', 'Fbz', 'skem', 'PlayHard']","['Io', 'Vengeful Spirit', 'Abaddon', 'Batrider', 'Templar Assassin', 'Storm Spirit', 'Invoker']","['Omniknight', 'Keeper of the Light', 'Void Spirit', 'Death Prophet', 'Kunkka', 'Leshrac', 'Ember Spirit']","['Magnus', 'Riki', 'Bloodseeker', 'Monkey King', 'Bane']","['Phantom Lancer', 'Queen of Pain', 'Mars', 'Gyrocopter', 'Pangolier']",,"<span class=""team__title-label"">Победа</span>",26 : 38
Motivate.Trust Gaming vs BOOM Esports,1.41-2.96,8.20(1.90)2.16,-,08 Сентября 16:30 2021,BTS Pro Series Season 8: Southeast Asia,Motivate.Trust Gaming,"['เสือเองคร้าบ', 'JaCkky', 'Masaros', 'Q', 'Boombell']",BOOM Esports,"['Palos', 'Yopaj', 'Fbz', 'skem', 'PlayHard']","['Io', 'Bloodseeker', 'Mars', 'Clinkz', 'Lifestealer', 'Gyrocopter', 'Anti-Mage']","['Omniknight', 'Pangolier', 'Kunkka', 'Death Prophet', 'Ember Spirit', 'Templar Assassin', 'Void Spirit']","['Keeper of the Light', 'Luna', 'Tiny', 'Sand King', 'Bane']","['Monkey King', 'Invoker', 'Night Stalker', 'Tidehunter', 'Windranger']",,"<span class=""team__title-label"">Победа</span>",26 : 37
T1 vs SG e-sports,1.24-3.82,1.07-7.50,-,08 Сентября 15:42 2021,OGA Dota PIT Invitational,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Shadow Demon', 'Batrider', 'Storm Spirit', 'Disruptor', 'Kunkka', 'Void Spirit', 'Ember Spirit']","['Clinkz', 'Sven', 'Beastmaster', 'Phoenix', 'Invoker', 'Viper', 'Venomancer']","['Luna', 'Leshrac', 'Mars', 'Lion', 'Io']","['Monkey King', 'Queen of Pain', 'Vengeful Spirit', 'Mirana', 'Bane']",,"<span class=""team__title-label"">Победа</span>",16 : 34
T1 vs SG e-sports,1.24-3.82,1.07-7.50,-,08 Сентября 15:42 2021,OGA Dota PIT Invitational,T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']",SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']","['Clinkz', 'Sven', 'Phoenix', 'Beastmaster', 'Queen of Pain', 'Viper', 'Dragon Knight']","['Shadow Demon', 'Batrider', 'Storm Spirit', 'Vengeful Spirit', 'Void Spirit', 'Templar Assassin', 'Kunkka']","['Monkey King', 'Doom', 'Tidehunter', 'Lina', 'Bane']","['Luna', 'Invoker', 'Venomancer', 'Mirana', 'Io']",,"<span class=""team__title-label"">Победа</span>",12 : 26
T1 vs SG e-sports,1.24-3.82,1.07-7.50,-,08 Сентября 15:42 2021,OGA Dota PIT Invitational,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Shadow Demon', 'Batrider', 'Pangolier', 'Elder Titan', 'Winter Wyvern', 'Ember Spirit', 'Sand King']","['Sven', 'Clinkz', 'Invoker', 'Vengeful Spirit', 'Viper', 'Leshrac', 'Lina']","['Terrorblade', 'Void Spirit', 'Dragon Knight', 'Mirana', 'Tidehunter']","['Luna', 'Doom', 'Legion Commander', 'Keeper of the Light', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",6 : 19
