match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
Virtus.pro vs PSG.LGD,1.63-2.31,1.20-4.20,-,26 Августа 21:00 2021,ESL One Fall 2021,PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']",Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']","['Viper', 'Templar Assassin', 'Beastmaster', 'Magnus', 'Mars', 'Void Spirit', 'Lina']","['Pangolier', 'Clinkz', 'Morphling', 'Monkey King', 'Slark', 'Sven', 'Gyrocopter']","['Spirit Breaker', 'Juggernaut', 'Undying', 'Mirana', 'Death Prophet']","['Phantom Lancer', 'Razor', 'Tidehunter', 'Lion', 'Phoenix']",,"<span class=""team__title-label"">Победа</span>",13 : 30
Virtus.pro vs PSG.LGD,1.63-2.31,1.20-4.20,-,26 Августа 21:00 2021,ESL One Fall 2021,Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']",PSG.LGD,"['xiao8', 'Ame', 'Faith_bian', 'XinQ', 'y`']","['Pangolier', 'Clinkz', 'Morphling', 'Monkey King', 'Terrorblade', 'Phantom Lancer', 'Anti-Mage']","['Viper', 'Templar Assassin', 'Mars', 'Medusa', 'Beastmaster', 'Tidehunter', 'Magnus']","['Faceless Void', 'Void Spirit', 'Bloodseeker', 'Shadow Demon', 'Phoenix']","['Spirit Breaker', 'Gyrocopter', 'Sand King', 'Keeper of the Light', 'Silencer']","<span class=""team__title-label"">Победа</span>",,34 : 21
Team Spirit vs Team Empire,1.28-3.79,1.03-10.00,-,26 Августа 18:10 2021,ESL One Fall 2021,Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']",Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']","['Invoker', 'Lina', 'Batrider', 'Ember Spirit', 'Void Spirit', 'Storm Spirit', 'Outworld Destroyer']","['Magnus', 'Keeper of the Light', 'Puck', 'Terrorblade', 'Morphling', 'Templar Assassin', 'Razor']","['Monkey King', 'Viper', 'Mars', 'Lion', 'Winter Wyvern']","['Sven', 'Queen of Pain', 'Night Stalker', 'Dark Willow', 'Lich']","<span class=""team__title-label"">Победа</span>",,24 : 15
Team Spirit vs Team Empire,1.28-3.79,1.03-10.00,-,26 Августа 18:10 2021,ESL One Fall 2021,Team Empire,"['Smiling Knight', 'depressed kid', 'Shachlo', 'sayuw', 'VANSKOR']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Magnus', 'Keeper of the Light', 'Puck', 'Mirana', 'Lifestealer', 'Razor', 'Death Prophet']","['Lina', 'Invoker', 'Medusa', 'Gyrocopter', 'Batrider', 'Outworld Destroyer', 'Void Spirit']","['Sven', 'Storm Spirit', 'Mars', 'Phoenix', 'Omniknight']","['Morphling', 'Queen of Pain', 'Axe', 'Hoodwink', 'Winter Wyvern']",,"<span class=""team__title-label"">Победа</span>",24 : 30
Vici Gaming vs Royal Never Give Up,1.66-2.24,1.02-11.00,-,26 Августа 13:39 2021,i-League 2021 Season 2,Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'RedPanda']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Nyx Assassin', 'Keeper of the Light', 'Monkey King', 'Lycan', 'Beastmaster', 'Slardar', 'Tidehunter']","['Invoker', 'Earthshaker', 'Gyrocopter', 'Morphling', 'Batrider', 'Lion', 'Windranger']","['Lifestealer', 'Void Spirit', 'Night Stalker', 'Undying', 'Omniknight']","['Sven', 'Lina', 'Dragon Knight', 'Shadow Demon', 'Phoenix']",,"<span class=""team__title-label"">Победа</span>",8 : 17
Vici Gaming vs Royal Never Give Up,1.66-2.24,1.02-11.00,-,26 Августа 13:39 2021,i-League 2021 Season 2,Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'RedPanda']",Vici Gaming,"['The last dark', 'Ori', 'old eLeVeN', 'Pyw', 'Dy']","['Dragon Knight', 'Omniknight', 'Pangolier', 'Disruptor', 'Ogre Magi', 'Ancient Apparition', 'Phoenix']","['Nyx Assassin', 'Invoker', 'Anti-Mage', 'Medusa', 'Gyrocopter', 'Slardar', 'Night Stalker']","['Morphling', 'Void Spirit', 'Doom', 'Windranger', 'Brewmaster']","['Sven', 'Storm Spirit', 'Tidehunter', 'Keeper of the Light', 'Silencer']",,"<span class=""team__title-label"">Победа</span>",19 : 39
Team MagMa vs Invictus Gaming,3.79-1.27,1.87-1.87,-,26 Августа 11:07 2021,i-League 2021 Season 2,Team MagMa,"['白也', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Storm Spirit', 'Clockwerk', 'Bloodseeker', 'Monkey King', 'Morphling', 'Weaver', 'Phantom Lancer']","['Nyx Assassin', 'Keeper of the Light', 'Abaddon', 'Lion', 'Night Stalker', 'Lycan', 'Beastmaster']","['Ursa', 'Templar Assassin', 'Pangolier', 'Lina', 'Elder Titan']","['Troll Warlord', 'Void Spirit', 'Mars', 'Rubick', 'Silencer']","<span class=""team__title-label"">Победа</span>",,48 : 21
Team MagMa vs Invictus Gaming,3.79-1.27,1.87-1.87,-,26 Августа 11:07 2021,i-League 2021 Season 2,Team MagMa,"['白也', 'Dust', 'Tzy', 'mianmian', 'Kazz']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Storm Spirit', 'Clockwerk', 'Bloodseeker', 'Enchantress', 'Void Spirit', 'Puck', 'Leshrac']","['Nyx Assassin', 'Keeper of the Light', 'Spectre', 'Lycan', 'Shadow Demon', 'Timbersaw', 'Night Stalker']","['Ursa', 'Lina', 'Pangolier', 'Rubick', 'Elder Titan']","['Clinkz', 'Shadow Fiend', 'Sand King', 'Lion', 'Omniknight']","<span class=""team__title-label"">Победа</span>",,37 : 23
Royal Never Give Up vs Team Aster,2.70-1.48,2.08-1.70,-,25 Августа 14:40 2021,i-League 2021 Season 2,Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'RedPanda']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Lina', 'Chen', 'Lycan', 'Beastmaster', 'Oracle', 'Pangolier', 'Axe']","['Invoker', 'Timbersaw', 'Anti-Mage', 'Tidehunter', 'Silencer', 'Night Stalker', 'Brewmaster']","['Morphling', 'Void Spirit', 'Dark Seer', 'Nyx Assassin', 'Undying']","['Sven', 'Storm Spirit', 'Dragon Knight', 'Keeper of the Light', 'Omniknight']","<span class=""team__title-label"">Победа</span>",,25 : 25
Royal Never Give Up vs Team Aster,2.70-1.48,2.08-1.70,-,25 Августа 14:40 2021,i-League 2021 Season 2,Royal Never Give Up,"['God-King', 'Dstones', 'Flyby', 'FelixCiaoBa', 'RedPanda']",Team Aster,"['Monet', 'White丶Album_白学家', 'Xxs', 'Borax', 'LaNm']","['Chen', 'Troll Warlord', 'Monkey King', 'Omniknight', 'Magnus', 'Juggernaut', 'Lycan']","['Invoker', 'Lina', 'Dark Seer', 'Brewmaster', 'Timbersaw', 'Phantom Lancer', 'Terrorblade']","['Spectre', 'Void Spirit', 'Bloodseeker', 'Hoodwink', 'Nyx Assassin']","['Lifestealer', 'Templar Assassin', 'Pangolier', 'Windranger', 'Oracle']","<span class=""team__title-label"">Победа</span>",,28 : 31
