iter	Logloss
0	0.6927835214
1	0.6924306951
2	0.6920906474
3	0.6917797155
4	0.6914597639
5	0.6911671145
6	0.6908422423
7	0.6905361587
8	0.6902301619
9	0.6898952993
10	0.6895617308
11	0.6892553679
12	0.6889292355
13	0.6886185007
14	0.6883348242
15	0.6880382375
16	0.6877392888
17	0.6874762409
18	0.6871774977
19	0.6868711462
20	0.6865957385
21	0.6863311415
22	0.6860590635
23	0.6857606953
24	0.685479388
25	0.6852188854
26	0.6849261286
27	0.6846770212
28	0.684387781
29	0.6841236828
30	0.6838631638
31	0.6835810665
32	0.6832947676
33	0.6830601127
34	0.6828141761
35	0.6825515451
36	0.6822886569
37	0.681984613
38	0.6817171748
39	0.6814653038
40	0.6812568116
41	0.6809984946
42	0.6807726551
43	0.6805192171
44	0.6802860659
45	0.6800560272
46	0.6798082453
47	0.6795525028
48	0.6793225764
49	0.6790943515
50	0.6788258239
51	0.6785471211
52	0.6783453662
53	0.6781237687
54	0.677899605
55	0.6776865735
56	0.6775090478
57	0.6772832667
58	0.6770626223
59	0.6768510236
60	0.6766296544
61	0.676496978
62	0.6763197781
63	0.6760971323
64	0.6758887848
65	0.6756875836
66	0.6754764903
67	0.6752633342
68	0.6750537553
69	0.6748394879
70	0.6746416168
71	0.6744258243
72	0.6741818954
73	0.6740064444
74	0.6738308983
75	0.673649088
76	0.6734781021
77	0.6732990892
78	0.6730908713
79	0.6728692258
80	0.6726967401
81	0.6725139068
82	0.6723442675
83	0.6721650365
84	0.6719883203
85	0.6717867183
86	0.6716032068
87	0.6714075905
88	0.6712360571
89	0.6710404833
90	0.6708547146
91	0.6706749044
92	0.6704958072
93	0.6703391883
94	0.6701786942
95	0.6700233008
96	0.6698754584
97	0.6697118901
98	0.669534295
99	0.6693819136
100	0.6692328379
101	0.6690890264
102	0.6689148097
103	0.6687687341
104	0.668620716
105	0.6684718191
106	0.6683192954
107	0.6681809986
108	0.6680278012
109	0.6678570976
110	0.6677083022
111	0.6675780744
112	0.667425405
113	0.6672959799
114	0.6671546303
115	0.6670227559
116	0.6669266215
117	0.666799157
118	0.6666611854
119	0.6665129956
120	0.666358317
121	0.6661903322
122	0.6660666376
123	0.6659285559
124	0.6658585881
125	0.6657744178
126	0.6656471881
127	0.665532554
128	0.6653968027
129	0.66522632
130	0.6651172623
131	0.6650088554
132	0.6648946798
133	0.664780331
134	0.6646360269
135	0.6645189569
136	0.6643674055
137	0.6643097275
138	0.664175241
139	0.6640576121
140	0.6639267913
141	0.663804267
142	0.6636752065
143	0.6635509047
144	0.6634316256
145	0.6633223422
146	0.6632123717
147	0.6630991273
148	0.6629802862
149	0.6629235075
150	0.6628159128
151	0.6626920419
152	0.6625855179
153	0.6624749773
154	0.6623714559
155	0.6623019445
156	0.6622049797
157	0.6620878929
158	0.661976865
159	0.66185484
160	0.6617543856
161	0.6616386748
162	0.6615282248
163	0.6614194781
164	0.6613339923
165	0.6612339924
166	0.6611250111
167	0.6610262924
168	0.6609346784
169	0.6608277097
170	0.660733605
171	0.6606273693
172	0.6605636495
173	0.6604647935
174	0.660392332
175	0.6603195975
176	0.6602680482
177	0.6601665479
178	0.6600762857
179	0.6599833503
180	0.6598965126
181	0.6598040414
182	0.6597071611
183	0.6596294976
184	0.6595227242
185	0.6594356024
186	0.6593360514
187	0.6592331543
188	0.6591789264
189	0.6590872631
190	0.6589951231
191	0.6589377347
192	0.6588437731
193	0.6587277078
194	0.6586349251
195	0.6585436054
196	0.6584922593
197	0.6584019383
198	0.6583353299
199	0.6582415973
200	0.6581701379
201	0.6580901589
202	0.6580056179
203	0.6579234339
204	0.6578343307
205	0.6577937667
206	0.6577029153
207	0.6576578718
208	0.6576031444
209	0.6575681809
210	0.6574814272
211	0.657428033
212	0.657349023
213	0.6572561066
214	0.6572158667
215	0.6571346545
216	0.6570473766
217	0.6569895069
218	0.6569360834
219	0.6568891016
220	0.6567851537
221	0.6566894827
222	0.656637898
223	0.6565991855
224	0.6565583788
225	0.6565108154
226	0.6564648065
227	0.6564200411
228	0.656321453
229	0.6562475451
230	0.6561682126
231	0.6561317504
232	0.6560584407
233	0.6559756006
234	0.6558951968
235	0.6558176624
236	0.6557184945
237	0.6556493896
238	0.6555998441
239	0.6555378358
240	0.6554616975
241	0.6554087179
242	0.655324264
243	0.6552399629
244	0.6551753236
245	0.6551079574
246	0.6550392118
247	0.6549970911
248	0.6549244484
249	0.6548728246
250	0.6548327145
251	0.6547646986
252	0.6547163507
253	0.654651901
254	0.6545736957
255	0.6545091279
256	0.654471756
257	0.6544284107
258	0.6543610347
259	0.6542937988
260	0.65425816
261	0.6542155454
262	0.6541531674
263	0.654116827
264	0.654069887
265	0.654001152
266	0.6539644081
267	0.653881463
268	0.6538109974
269	0.6537222463
270	0.6536884227
271	0.6536530295
272	0.6536077332
273	0.6535526839
274	0.6535336919
275	0.6534917034
276	0.6534100853
277	0.6533446829
278	0.6532757137
279	0.6532059692
280	0.6531468022
281	0.6531081391
282	0.6530270504
283	0.652977724
284	0.652935258
285	0.6528701387
286	0.6528027987
287	0.6527262228
288	0.6526893285
289	0.6526291264
290	0.6525882343
291	0.6525485502
292	0.6525046113
293	0.6524415422
294	0.6523778827
295	0.6523331657
296	0.6522868025
297	0.6522272621
298	0.6522095897
299	0.6521726618
300	0.6521320122
301	0.65209514
302	0.6520267994
303	0.6519859802
304	0.6519419941
305	0.6518918864
306	0.6518484363
307	0.6517960425
308	0.6517212516
309	0.6516792656
310	0.6516223825
311	0.6515691749
312	0.6515198559
313	0.6514856759
314	0.6514393241
315	0.6513722612
316	0.6513154253
317	0.6512801448
318	0.6512133592
319	0.6511776935
320	0.6511436476
321	0.6511095999
322	0.6510593808
323	0.651011391
324	0.6509631074
325	0.650905542
326	0.6508746696
327	0.6508294266
328	0.6508041386
329	0.6507486815
330	0.6506796028
331	0.6506440524
332	0.6505893128
333	0.6505246309
334	0.6504674486
335	0.6504058194
336	0.6503731229
337	0.650353274
338	0.6503180665
339	0.6502700425
340	0.6502439284
341	0.6501894834
342	0.6501523337
343	0.6501240841
344	0.650106227
345	0.6500777455
346	0.6500332567
347	0.6500066153
348	0.6499479355
349	0.649920959
350	0.6498684156
351	0.6498344248
352	0.6497998676
353	0.6497833152
354	0.649727279
355	0.6496754088
356	0.649621678
357	0.6495797903
358	0.6495379516
359	0.6495073628
360	0.6494525489
361	0.6494238399
362	0.6493991093
363	0.6493704739
364	0.6493457894
365	0.6492976078
366	0.64927381
367	0.64924322
368	0.649207876
369	0.6491844873
370	0.6491357863
371	0.6491098593
372	0.649085663
373	0.649050106
374	0.6489886393
375	0.648953943
376	0.6488874842
377	0.6488534285
378	0.6488212281
379	0.6488035502
380	0.6487657462
381	0.6487524186
382	0.6487047518
383	0.6486755042
384	0.64864517
385	0.648588264
386	0.6485629411
387	0.648531754
388	0.6485005581
389	0.6484530114
390	0.6484141004
391	0.6483919178
392	0.6483682736
393	0.6483167079
394	0.6482827049
395	0.6482527753
396	0.6482163384
397	0.6481702938
398	0.6481468044
399	0.6481197705
400	0.6480880745
401	0.6480546895
402	0.6480244116
403	0.6479945905
404	0.6479680666
405	0.6479370526
406	0.6479053289
407	0.6478817489
408	0.6478561036
409	0.6477993564
410	0.6477399499
411	0.6476906548
412	0.647664858
413	0.6476443963
414	0.6476159417
415	0.6475676057
416	0.6475327597
417	0.6474786253
418	0.6474527319
419	0.6474219628
420	0.6473929601
421	0.6473591149
422	0.6473264438
423	0.6472988588
424	0.6472479806
425	0.6472298734
426	0.6472175055
427	0.6471958191
428	0.647175198
429	0.6471431603
430	0.6471003813
431	0.647071656
432	0.6470369135
433	0.6469907146
434	0.6469381088
435	0.6468958266
436	0.6468652755
437	0.6468418637
438	0.6467972945
439	0.6467844547
440	0.6467429638
441	0.6467062784
442	0.6466801596
443	0.6466696811
444	0.646649317
445	0.6466079469
446	0.6465968271
447	0.6465665723
448	0.6465324959
449	0.6465006462
450	0.6464730626
451	0.6464312112
452	0.6464212411
453	0.6463845621
454	0.6463460213
455	0.6463046104
456	0.6462692846
457	0.6462239806
458	0.6461998835
459	0.6461659778
460	0.6461326492
461	0.6461158344
462	0.6460761661
463	0.646052659
464	0.6460182827
465	0.6460108464
466	0.6459851207
467	0.6459605705
468	0.6459263628
469	0.6459071297
470	0.6458677388
471	0.6458523721
472	0.6458401652
473	0.6458271817
474	0.6457934598
475	0.6457554157
476	0.6457300534
477	0.6457135767
478	0.6456891847
479	0.6456343915
480	0.6456184066
481	0.6455909493
482	0.6455590264
483	0.6455463891
484	0.6455316033
485	0.6455023274
486	0.6454655449
487	0.6454487144
488	0.6454238718
489	0.6453926015
490	0.6453758976
491	0.6453393684
492	0.6453283814
493	0.6453141501
494	0.6452836077
495	0.6452696571
496	0.6452569177
497	0.645226819
498	0.6452039611
499	0.6451645808
500	0.6451569503
501	0.6451321331
502	0.6450974947
503	0.6450770792
504	0.6450650334
505	0.6450191284
506	0.6449979765
507	0.6449600627
508	0.644934293
509	0.644916679
510	0.6448731582
511	0.6448357548
512	0.6448080517
513	0.6447819827
514	0.6447559149
515	0.6447311472
516	0.6446980917
517	0.6446818023
518	0.6446619461
519	0.6446317096
520	0.6446066973
521	0.6445784688
522	0.6445541539
523	0.6445433092
524	0.6445208607
525	0.6444775282
526	0.6444408343
527	0.6444226302
528	0.6443840517
529	0.6443554701
530	0.6443339419
531	0.6443151204
532	0.6442943805
533	0.6442677924
534	0.6442398516
535	0.6442131459
536	0.6441995923
537	0.6441853523
538	0.6441623071
539	0.6441224228
540	0.644094256
541	0.6440705549
542	0.6440418913
543	0.6440168053
544	0.6439906493
545	0.6439830072
546	0.6439598873
547	0.6439309744
548	0.6439038195
549	0.6438821374
550	0.6438510559
551	0.6438199797
552	0.6438099485
553	0.643798211
554	0.6437676888
555	0.6437450243
556	0.6437297627
557	0.6436999666
558	0.6436733196
559	0.6436461973
560	0.6436244496
561	0.6436074204
562	0.6435908266
563	0.6435553293
564	0.6435245645
565	0.6435024272
566	0.6434791208
567	0.6434647489
568	0.6434327145
569	0.6434240338
570	0.643411424
571	0.6433870806
572	0.6433668102
573	0.6433285392
574	0.6433099296
575	0.6432971866
576	0.6432563463
577	0.6432130165
578	0.6431838389
579	0.6431648479
580	0.6431346136
581	0.6431199334
582	0.6430787241
583	0.6430530544
584	0.6430378038
585	0.6430223514
586	0.6429950297
587	0.6429723914
588	0.6429496244
589	0.6429201868
590	0.6428969725
591	0.6428774252
592	0.6428402702
593	0.6428111443
594	0.6428002532
595	0.6427888721
596	0.6427775086
597	0.6427567189
598	0.6427421127
599	0.6427172659
600	0.6426894461
601	0.6426709149
602	0.6426418998
603	0.642606186
604	0.6425759499
605	0.64254984
606	0.6425330388
607	0.642523574
608	0.6424989794
609	0.6424774255
610	0.6424528752
611	0.6424291453
612	0.642410284
613	0.6423754731
614	0.6423487264
615	0.6423249656
616	0.6423085813
617	0.6422934799
618	0.6422741407
619	0.6422579216
620	0.6422377219
621	0.6421888753
622	0.6421674421
623	0.6421514297
624	0.642136174
625	0.6421061105
626	0.6420923374
627	0.6420626857
628	0.6420338864
629	0.6420189861
630	0.6420000081
631	0.6419670726
632	0.6419430711
633	0.6419179094
634	0.6419075125
635	0.6418765072
636	0.6418545512
637	0.6418406118
638	0.6418020212
639	0.6417712267
640	0.6417374119
641	0.6417133071
642	0.6416939261
643	0.6416767093
644	0.6416592724
645	0.6416386536
646	0.6416232167
647	0.6415939239
648	0.6415655419
649	0.6415366657
650	0.6415205197
651	0.6414987817
652	0.6414891809
653	0.6414725013
654	0.6414494719
655	0.64142581
656	0.6414171428
657	0.6413922596
658	0.6413730054
659	0.6413425162
660	0.6413126337
661	0.6412794443
662	0.6412555198
663	0.6412238757
664	0.6412132285
665	0.6411796156
666	0.6411614537
667	0.6411320093
668	0.6410952199
669	0.6410732166
670	0.6410585602
671	0.6410272509
672	0.6410055999
673	0.6409751565
674	0.6409408367
675	0.6409164086
676	0.6409028055
677	0.6408852559
678	0.6408604587
679	0.6408386802
680	0.6408253846
681	0.6408152494
682	0.6408001329
683	0.6407815389
684	0.6407699174
685	0.6407397249
686	0.6407244863
687	0.6407191236
688	0.6406999744
689	0.6406802657
690	0.6406526651
691	0.6406336013
692	0.6406149739
693	0.6405956626
694	0.6405813001
695	0.6405394915
696	0.6405217564
697	0.6404984834
698	0.6404696527
699	0.6404474099
700	0.6404270962
701	0.6404087034
702	0.6403933785
703	0.6403626571
704	0.640347848
705	0.6403276591
706	0.640302346
707	0.6402801248
708	0.640252236
709	0.6402190112
710	0.6401950733
711	0.6401821811
712	0.6401628696
713	0.6401471351
714	0.6401224761
715	0.6400952166
716	0.640084121
717	0.6400628419
718	0.6400373131
719	0.6400149871
720	0.6399965246
721	0.6399726225
722	0.6399543526
723	0.6399418641
724	0.6399304754
725	0.6399146567
726	0.6398997695
727	0.6398873838
728	0.639865422
729	0.6398542499
730	0.6398371093
731	0.6398248451
732	0.6398093158
733	0.6397826234
734	0.639772489
735	0.639746731
736	0.6397365244
737	0.6397193465
738	0.6397106926
739	0.6396899303
740	0.6396663002
741	0.6396410067
742	0.6396304784
743	0.6396005357
744	0.6395822937
745	0.6395753864
746	0.6395547202
747	0.6395379683
748	0.6395126852
749	0.6394947284
750	0.6394707108
751	0.6394448231
752	0.6394290686
753	0.6394223992
754	0.6394071305
755	0.639378685
756	0.6393658886
757	0.6393434474
758	0.6393282508
759	0.6393067981
760	0.6392787853
761	0.6392572572
762	0.6392384115
763	0.639202586
764	0.6391853839
765	0.6391690764
766	0.6391497499
767	0.6391275297
768	0.6391118782
769	0.6390965406
770	0.6390777319
771	0.6390600753
772	0.6390400581
773	0.6390229117
774	0.6390041674
775	0.6389844257
776	0.6389645879
777	0.6389466317
778	0.6389261293
779	0.6389092411
780	0.638890043
781	0.6388773676
782	0.6388629485
783	0.6388536894
784	0.6388335693
785	0.6388118021
786	0.6387855171
787	0.638761699
788	0.6387437826
789	0.6387261466
790	0.6386998888
791	0.6386706153
792	0.6386491463
793	0.6386348036
794	0.6386208728
795	0.6386081513
796	0.6385965455
797	0.6385792081
798	0.638561329
799	0.6385353616
800	0.6385259465
801	0.6385085107
802	0.6384875637
803	0.6384687902
804	0.6384481285
805	0.6384270093
806	0.6384074634
807	0.6383847014
808	0.6383588148
809	0.6383378329
810	0.6383146472
811	0.6383030414
812	0.6382856425
813	0.6382641342
814	0.6382542883
815	0.6382461118
816	0.638226778
817	0.6382078302
818	0.6381855561
819	0.6381630056
820	0.6381417121
821	0.6381350762
822	0.6381230391
823	0.6381008863
824	0.6380891282
825	0.6380713231
826	0.6380456848
827	0.6380339294
828	0.6380101473
829	0.6380018449
830	0.6379911388
831	0.6379728366
832	0.6379657433
833	0.6379361155
834	0.6379201637
835	0.637902197
836	0.6378755277
837	0.6378446248
838	0.6378222951
839	0.6378109211
840	0.6377880783
841	0.6377729018
842	0.6377579429
843	0.6377358234
844	0.6377126869
845	0.6377015314
846	0.6376777144
847	0.6376654703
848	0.6376498494
849	0.6376314371
850	0.6376116813
851	0.6375952482
852	0.6375698402
853	0.6375449463
854	0.6375257601
855	0.6375061586
856	0.637484113
857	0.6374634961
858	0.6374373056
859	0.6374176771
860	0.6374043065
861	0.6373928995
862	0.6373676696
863	0.6373536699
864	0.6373333996
865	0.6373110627
866	0.6372897934
867	0.6372709193
868	0.6372537088
869	0.6372401931
870	0.6372268559
871	0.6372166768
872	0.6371945102
873	0.6371731473
874	0.63715995
875	0.6371428225
876	0.637125553
877	0.6371049955
878	0.6370949641
879	0.6370756236
880	0.6370627441
881	0.6370495802
882	0.6370339137
883	0.6370164032
884	0.637011973
885	0.6369959029
886	0.6369787998
887	0.636945473
888	0.6369204644
889	0.6369057035
890	0.6368906742
891	0.6368811752
892	0.6368651935
893	0.6368426054
894	0.6368281221
895	0.6368146224
896	0.6368075651
897	0.6367840031
898	0.6367704714
899	0.6367651858
900	0.6367590537
901	0.6367468668
902	0.6367284498
903	0.6367074409
904	0.6367015355
905	0.6366795446
906	0.6366671341
907	0.6366588954
908	0.6366332948
909	0.6366119867
910	0.6365875752
911	0.6365778912
912	0.6365476305
913	0.6365303617
914	0.6365098625
915	0.636484778
916	0.6364770901
917	0.6364593614
918	0.6364494688
919	0.6364324034
920	0.636407786
921	0.636384991
922	0.6363699543
923	0.6363576757
924	0.636346797
925	0.636330408
926	0.6363171337
927	0.63629663
928	0.6362805778
929	0.63625975
930	0.6362489203
931	0.6362344405
932	0.6362154693
933	0.6362023709
934	0.6361915625
935	0.6361810436
936	0.6361598201
937	0.6361374084
938	0.6361272737
939	0.6361076244
940	0.6360782353
941	0.6360534702
942	0.6360425979
943	0.6360208344
944	0.6359949707
945	0.6359816422
946	0.6359586976
947	0.6359345605
948	0.6359161628
949	0.6359042457
950	0.6358922923
951	0.6358679995
952	0.6358622441
953	0.6358518074
954	0.6358391759
955	0.6358282945
956	0.6358191675
957	0.6357998588
958	0.6357853353
959	0.6357767072
960	0.6357648358
961	0.6357499739
962	0.6357337795
963	0.6357204505
964	0.6357036787
965	0.6356862246
966	0.6356757438
967	0.635652527
968	0.635636685
969	0.6356200121
970	0.6356031075
971	0.6355818963
972	0.635573268
973	0.6355644194
974	0.6355417216
975	0.6355219047
976	0.6355030173
977	0.6354871168
978	0.6354746929
979	0.6354634422
980	0.6354481044
981	0.6354287805
982	0.6354051673
983	0.6353853412
984	0.6353739305
985	0.6353412871
986	0.6353278818
987	0.6353148192
988	0.6353042607
989	0.6352938256
990	0.6352684352
991	0.6352542608
992	0.6352369006
993	0.6352118096
994	0.6351947741
995	0.6351774645
996	0.6351570195
997	0.6351338024
998	0.6351214758
999	0.6351056978
1000	0.6350916577
1001	0.6350787394
1002	0.6350696564
1003	0.6350599068
1004	0.6350467264
1005	0.635026104
1006	0.6350054498
1007	0.6349952579
1008	0.634979907
1009	0.6349656937
1010	0.6349528016
1011	0.6349455207
1012	0.6349315516
1013	0.6349146292
1014	0.6348925415
1015	0.6348765402
1016	0.6348664519
1017	0.6348545743
1018	0.6348423378
1019	0.6348224527
1020	0.63480251
1021	0.6347883216
1022	0.6347733622
1023	0.6347575429
1024	0.6347467457
1025	0.6347319363
1026	0.6347222322
1027	0.634709601
1028	0.6347028286
1029	0.6346849152
1030	0.6346719674
1031	0.6346606288
1032	0.6346460192
1033	0.634627571
1034	0.6346085106
1035	0.6345870548
1036	0.6345687791
1037	0.6345496932
1038	0.6345307645
1039	0.6345219001
1040	0.634506589
1041	0.6344884176
1042	0.6344819727
1043	0.6344669514
1044	0.6344504836
1045	0.6344419527
1046	0.6344314419
1047	0.6344068761
1048	0.6343843535
1049	0.6343626284
1050	0.6343478521
1051	0.6343335188
1052	0.634325604
1053	0.634310771
1054	0.6342979532
1055	0.6342868414
1056	0.6342777703
1057	0.6342683108
1058	0.6342562127
1059	0.6342417552
1060	0.6342185653
1061	0.6342082723
1062	0.6341905699
1063	0.6341789176
1064	0.634175807
1065	0.6341688844
1066	0.6341564312
1067	0.6341443727
1068	0.634129648
1069	0.6341120765
1070	0.634093038
1071	0.634079107
1072	0.6340661879
1073	0.6340536962
1074	0.6340426484
1075	0.6340286621
1076	0.6340171224
1077	0.6340095423
1078	0.6339926759
1079	0.6339829834
1080	0.6339709996
1081	0.6339576714
1082	0.6339333718
1083	0.6339160569
1084	0.6338971992
1085	0.6338873518
1086	0.6338685327
1087	0.6338595719
1088	0.6338382221
1089	0.6338257921
1090	0.6338129195
1091	0.6338012767
1092	0.6337863827
1093	0.6337693746
1094	0.6337567776
1095	0.6337450974
1096	0.6337283546
1097	0.6336975561
1098	0.6336887041
1099	0.6336767407
1100	0.6336571449
1101	0.6336482595
1102	0.6336303139
1103	0.6336219887
1104	0.6336011681
1105	0.6335833573
1106	0.6335647127
1107	0.6335452275
1108	0.6335376554
1109	0.6335251489
1110	0.6335076357
1111	0.6334945204
1112	0.6334805317
1113	0.6334672507
1114	0.6334365783
1115	0.6334141203
1116	0.6334047406
1117	0.6333881581
1118	0.6333616371
1119	0.6333543971
1120	0.6333331617
1121	0.6333161674
1122	0.6333081773
1123	0.6332881778
1124	0.6332803918
1125	0.6332679885
1126	0.6332514878
1127	0.6332285618
1128	0.6332041283
1129	0.6331864396
1130	0.6331749056
1131	0.6331624579
1132	0.6331435649
1133	0.633124838
1134	0.633110991
1135	0.6330980305
1136	0.6330710872
1137	0.6330604819
1138	0.6330447385
1139	0.6330258336
1140	0.6330134543
1141	0.632998515
1142	0.6329861959
1143	0.6329770781
1144	0.6329611358
1145	0.632947056
1146	0.6329375579
1147	0.6329271734
1148	0.6329099567
1149	0.632899794
1150	0.6328811257
1151	0.6328554501
1152	0.632836558
1153	0.6328255538
1154	0.6328085546
1155	0.6327928239
1156	0.6327708964
1157	0.632764046
1158	0.6327480396
1159	0.6327331259
1160	0.6327112196
1161	0.6326999452
1162	0.6326882525
1163	0.6326791179
1164	0.6326664211
1165	0.632647447
1166	0.6326263158
1167	0.6326141703
1168	0.6325998909
1169	0.6325812677
1170	0.6325693321
1171	0.6325555261
1172	0.6325424291
1173	0.6325274906
1174	0.6325157141
1175	0.6325005757
1176	0.6324909185
1177	0.6324752026
1178	0.6324708537
1179	0.6324573574
1180	0.6324458299
1181	0.6324278223
1182	0.632409466
1183	0.6323926782
1184	0.6323752404
1185	0.6323474642
1186	0.6323131931
1187	0.6322995975
1188	0.6322923647
1189	0.6322772503
1190	0.6322660204
1191	0.6322573329
1192	0.6322419439
1193	0.632226834
1194	0.6322166928
1195	0.6322072528
1196	0.6321992734
1197	0.6321855772
1198	0.6321724386
1199	0.6321605808
1200	0.6321516321
1201	0.6321358811
1202	0.632123359
1203	0.6321074833
1204	0.6320955018
1205	0.6320815014
1206	0.6320667305
1207	0.6320572659
1208	0.6320424172
1209	0.6320292883
1210	0.632019795
1211	0.632007168
1212	0.6319907979
1213	0.6319642603
1214	0.6319400104
1215	0.6319280923
1216	0.631915493
1217	0.6319014243
1218	0.6318833056
1219	0.6318703531
1220	0.631861066
1221	0.6318499052
1222	0.6318356446
1223	0.6318229723
1224	0.6318078218
1225	0.6317943859
1226	0.6317819035
1227	0.6317627247
1228	0.6317583512
1229	0.6317538201
1230	0.6317370267
1231	0.6317272912
1232	0.6317124211
1233	0.6316906041
1234	0.6316763874
1235	0.6316604498
1236	0.6316492832
1237	0.6316369917
1238	0.6316269555
1239	0.6316118296
1240	0.631599201
1241	0.6315756556
1242	0.6315633101
1243	0.631560116
1244	0.6315439472
1245	0.6315329232
1246	0.6315222141
1247	0.6315082861
1248	0.6315029592
1249	0.6314886439
1250	0.6314686155
1251	0.6314610799
1252	0.6314491212
1253	0.6314289882
1254	0.6314195119
1255	0.6314065416
1256	0.6313869701
1257	0.6313731745
1258	0.6313659731
1259	0.6313515722
1260	0.6313384899
1261	0.6313282228
1262	0.6313139574
1263	0.631302848
1264	0.6312905841
1265	0.6312838775
1266	0.6312706334
1267	0.6312555363
1268	0.6312452917
1269	0.6312296998
1270	0.6312099133
1271	0.6311923002
1272	0.6311779822
1273	0.6311686456
1274	0.6311516373
1275	0.63113657
1276	0.6311138552
1277	0.6311008205
1278	0.6310871582
1279	0.6310734736
1280	0.6310602752
1281	0.6310420086
1282	0.6310222387
1283	0.6310156635
1284	0.6310067373
1285	0.6309863843
1286	0.6309746356
1287	0.6309607587
1288	0.6309545759
1289	0.6309429038
1290	0.6309211454
1291	0.6309050978
1292	0.6308892115
1293	0.6308768183
1294	0.630850086
1295	0.6308402386
1296	0.630824003
1297	0.6308110682
1298	0.6307836214
1299	0.6307777269
1300	0.6307663628
1301	0.6307546298
1302	0.6307416484
1303	0.6307241651
1304	0.6307051301
1305	0.6306938835
1306	0.6306753366
1307	0.630662351
1308	0.6306428737
1309	0.6306309469
1310	0.6306151968
1311	0.6305886505
1312	0.630580878
1313	0.6305665904
1314	0.6305505742
1315	0.6305238252
1316	0.6305087326
1317	0.6305032189
1318	0.6304888834
1319	0.6304759611
1320	0.6304627685
1321	0.6304565992
1322	0.6304365963
1323	0.6304168369
1324	0.6303991681
1325	0.6303777437
1326	0.6303655488
1327	0.6303481926
1328	0.6303360228
1329	0.6303219397
1330	0.6303021692
1331	0.6302843362
1332	0.6302735116
1333	0.6302580858
1334	0.6302414952
1335	0.6302282825
1336	0.6302151641
1337	0.6301976061
1338	0.6301833259
1339	0.6301617041
1340	0.6301512967
1341	0.6301359574
1342	0.6301309713
1343	0.6301210012
1344	0.6301041102
1345	0.6300846456
1346	0.6300611723
1347	0.6300427979
1348	0.6300308972
1349	0.6300086963
