match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
PSG.LGD vs Team Empire,1.56-2.44,1.50(2.70)13.00,-,22 Августа 21:30 2021,ESL One Fall 2021,PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']",Team Empire,"['Shachlo', 'Smiling Knight', 'depressed kid', 'sayuw', 'VANSKOR']","['Chen', 'Lina', 'Batrider', 'Clockwerk', 'Sand King', 'Dark Seer', 'Brewmaster']","['Pangolier', 'Keeper of the Light', 'Phoenix', 'Dark Willow', 'Puck', 'Axe', 'Leshrac']","['Templar Assassin', 'Doom', 'Dragon Knight', 'Grimstroke', 'Mars']","['Beastmaster', 'Phantom Lancer', 'Invoker', 'Nyx Assassin', 'Hoodwink']",,"<span class=""team__title-label"">Победа</span>",11 : 30
Team Spirit vs Tundra Esports,1.42-2.90,3.40(1.90)3.40,-,22 Августа 19:20 2021,ESL One Fall 2021,Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']",Tundra Esports,"['Skiter', 'Nine', '33', 'Sneyking', 'FATA-']","['Lycan', 'Keeper of the Light', 'Ancient Apparition', 'Beastmaster', 'Slark', 'Enigma', 'Nyx Assassin']","['Magnus', 'Chen', 'Dark Willow', 'Spirit Breaker', 'Sand King', 'Queen of Pain', 'Puck']","['Morphling', 'Leshrac', 'Mars', 'Lion', 'Omniknight']","['Faceless Void', 'Batrider', 'Visage', 'Pangolier', 'Gyrocopter']",,"<span class=""team__title-label"">Победа</span>",18 : 33
Team Spirit vs Tundra Esports,1.42-2.90,3.40(1.90)3.40,-,22 Августа 19:20 2021,ESL One Fall 2021,Tundra Esports,"['Skiter', 'Nine', '33', 'Sneyking', 'FATA-']",Team Spirit,"['Yatoro', 'TORONTOTOKYO', 'Collapse', 'Miroslaw', 'Miposhka']","['Magnus', 'Chen', 'Enchantress', 'Phantom Assassin', 'Weaver', 'Slark', 'Alchemist']","['Lycan', 'Keeper of the Light', 'Gyrocopter', 'Batrider', 'Earth Spirit', 'Lifestealer', 'Terrorblade']","['Sven', 'Void Spirit', 'Beastmaster', 'Lion', 'Pangolier']","['Medusa', 'Kunkka', 'Axe', 'Windranger', 'Crystal Maiden']","<span class=""team__title-label"">Победа</span>",,26 : 5
T1 vs Thunder Predator,2.03-1.73,2.15(2.20)5.25,-,22 Августа 19:11 2021,ESL One Fall 2021,Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'MoOz', 'Mjz']",T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Magnus', 'Pangolier', 'Juggernaut', 'Kunkka', 'Dragon Knight', 'Viper', 'Invoker']","['Tidehunter', 'Batrider', 'Nyx Assassin', 'Medusa', 'Puck', 'Templar Assassin', 'Storm Spirit']","['Wraith King', 'Mars', 'Axe', 'Rubick', 'Phoenix']","['Faceless Void', 'Keeper of the Light', 'Beastmaster', 'Snapfire', 'Lion']",,"<span class=""team__title-label"">Победа</span>",13 : 30
T1 vs Thunder Predator,2.03-1.73,2.15(2.20)5.25,-,22 Августа 19:11 2021,ESL One Fall 2021,Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'MoOz', 'Mjz']",T1,"['23savage', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Magnus', 'Pangolier', 'Keeper of the Light', 'Beastmaster', 'Lycan', 'Viper', 'Venomancer']","['Tidehunter', 'Batrider', 'Puck', 'Nyx Assassin', 'Medusa', 'Slardar', 'Legion Commander']","['Gyrocopter', 'Templar Assassin', 'Mars', 'Rubick', 'Phoenix']","['Riki', 'Doom', 'Dark Seer', 'Snapfire', 'Lion']",,"<span class=""team__title-label"">Победа</span>",9 : 30
Alliance vs SG e-sports,1.85-1.98,1.85(2.65)5.25,-,22 Августа 16:40 2021,ESL One Fall 2021,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']","['Keeper of the Light', 'Pangolier', 'Monkey King', 'Slark', 'Ursa', 'Troll Warlord', 'Riki']","['Io', 'Timbersaw', 'Lina', 'Invoker', 'Broodmother', 'Batrider', 'Storm Spirit']","['Sven', 'Puck', 'Lycan', 'Phoenix', 'Omniknight']","['Gyrocopter', 'Razor', 'Venomancer', 'Earthshaker', 'Chen']","<span class=""team__title-label"">Победа</span>",,18 : 3
Alliance vs SG e-sports,1.85-1.98,1.85(2.65)5.25,-,22 Августа 16:40 2021,ESL One Fall 2021,SG e-sports,"['Costabile', '4dr', 'tavo', 'Thiolicor', 'KJ']",Alliance,"['Nikobaby', 'Limmp', 's4', 'Handsken', 'fng']","['Keeper of the Light', 'Pangolier', 'Morphling', 'Ursa', 'Slark', 'Faceless Void', 'Juggernaut']","['Io', 'Omniknight', 'Chen', 'Enchantress', 'Phantom Lancer', 'Terrorblade', 'Timbersaw']","['Medusa', 'Invoker', 'Magnus', 'Phoenix', 'Lion']","['Sven', 'Sand King', 'Beastmaster', 'Lina', 'Winter Wyvern']",,"<span class=""team__title-label"">Победа</span>",20 : 22
PSG.LGD vs beastcoast,1.44-2.83,1.45(3.05)10.00,-,22 Августа 16:30 2021,ESL One Fall 2021,PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']",beastcoast,"['K1', 'StingerR', 'Chris Luck', 'Wisper', 'Scofield']","['Slark', 'Chaos Knight', 'Abaddon', 'Wraith King', 'Phantom Lancer', 'Lina', 'Viper']","['Keeper of the Light', 'Beastmaster', 'Pangolier', 'Bloodseeker', 'Anti-Mage', 'Timbersaw', 'Leshrac']","['Gyrocopter', 'Batrider', 'Night Stalker', 'Silencer', 'Faceless Void']","['Naga Siren', 'Witch Doctor', 'Queen of Pain', 'Sand King', 'Earth Spirit']",,"<span class=""team__title-label"">Победа</span>",42 : 36
PSG.LGD vs beastcoast,1.44-2.83,1.45(3.05)10.00,-,22 Августа 16:30 2021,ESL One Fall 2021,beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Wisper', 'Scofield']",PSG.LGD,"['Ame', 'xiao8', 'Faith_bian', 'XinQ', 'y`']","['Pangolier', 'Omniknight', 'Sand King', 'Leshrac', 'Timbersaw', 'Tidehunter', 'Magnus']","['Earth Spirit', 'Bloodseeker', 'Axe', 'Beastmaster', 'Templar Assassin', 'Enigma', 'Viper']","['Silencer', 'Phantom Lancer', 'Void Spirit', 'Keeper of the Light', 'Earthshaker']","['Slark', 'Puck', 'Lycan', 'Phoenix', 'Nyx Assassin']","<span class=""team__title-label"">Победа</span>",,38 : 35
Virtus.pro vs Thunder Predator,1.42-2.92,1.37(3.35)12.00,-,22 Августа 14:00 2021,ESL One Fall 2021,Virtus.pro,"['Nightfall', 'gpk', 'DM', 'Save-', 'Kingslayer']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'MoOz', 'Mjz']","['Omniknight', 'Tidehunter', 'Morphling', 'Gyrocopter', 'Medusa', 'Leshrac', 'Puck']","['Winter Wyvern', 'Monkey King', 'Juggernaut', 'Faceless Void', 'Invoker', 'Dark Seer', 'Ember Spirit']","['Phantom Lancer', 'Viper', 'Magnus', 'Lina', 'Phoenix']","['Terrorblade', 'Void Spirit', 'Mars', 'Dark Willow', 'Abaddon']","<span class=""team__title-label"">Победа</span>",,25 : 9
