,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
62,paiN Gaming vs FURIA Esports,1.46-2.57,-,1.65-2.18,14 Февраля 01:21 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,paiN Gaming,"['hFn', 'Mandy', 'Kingrd', 'Dunha1', '444']",FURIA Esports,"['21 21 21', 'Sexyfat', 'RdO-', 'Hyko', 'Duster']","['Winter Wyvern', 'Batrider', 'Chen', 'Huskar', 'Viper', 'Queen of Pain']","['Mars', 'Slardar', 'Snapfire', 'Medusa', 'Slark', 'Troll Warlord']","['Ursa', 'Razor', 'Beastmaster', 'Rubick', 'Grimstroke']","['Puck', 'Bristleback', 'Lifestealer', 'Tusk', 'Ancient Apparition']",,"<span class=""team__title-label"">Победа</span>",30 : 45
63,Team Xolotl vs Fighting PandaS,11.06-1.05,-,8.22-1.06,13 Февраля 21:05 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Fighting PandaS,"['EternaLEnVy', 'bryle', 'Sneyking', 'MoonMeander', 'Aui_2000']",Team Xolotl,"['peruvian by day russian by night', 'Ifrit', 'esK', 'Jano', 'Raykill']","['Tiny', 'Enchantress', 'Snapfire', 'Bloodseeker', 'Morphling', 'Batrider']","['Chen', 'Razor', 'Nyx Assassin', 'Naga Siren', 'Huskar', 'Outworld Destroyer']","['Troll Warlord', 'Ember Spirit', 'Pangolier', 'Rubick', 'Lich']","['Disruptor', 'Riki', 'Void Spirit', 'Timbersaw', 'Earthshaker']","<span class=""team__title-label"">Победа</span>",,31 : 13
64,Team Xolotl vs Fighting PandaS,11.06-1.05,-,8.22-1.06,13 Февраля 21:05 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Team Xolotl,"['peruvian by day russian by night', 'Ifrit', 'esK', 'Jano', 'Raykill']",Fighting PandaS,"['EternaLEnVy', 'bryle', 'MoonMeander', 'Sneyking', 'Aui_2000']","['Chen', 'Nyx Assassin', 'Razor', 'Pangolier', 'Slardar', 'Slark']","['Enchantress', 'Tiny', 'Snapfire', 'Lifestealer', 'Naga Siren', 'Abaddon']","['Jakiro', 'Morphling', 'Void Spirit', 'Kunkka', 'Rubick']","['Bloodseeker', 'Ember Spirit', 'Dark Willow', 'Mars', 'Lich']",,"<span class=""team__title-label"">Победа</span>",9 : 29
65,Team Liquid vs Alliance,1.58-2.39,-,1.63-2.19,13 Февраля 18:48 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']",Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']","['Enchantress', 'Nyx Assassin', 'Snapfire', 'Slark', 'Queen of Pain', 'Viper']","['Timbersaw', 'Void Spirit', 'Slardar', 'Phantom Lancer', 'Anti-Mage', 'Broodmother']","['Morphling', 'Razor', 'Legion Commander', 'Earthshaker', 'Chen']","['Oracle', 'Spectre', 'Windranger', 'Batrider', 'Clockwerk']","<span class=""team__title-label"">Победа</span>",,24 : 13
66,Team Liquid vs Alliance,1.58-2.39,-,1.63-2.19,13 Февраля 18:48 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Timbersaw', 'Oracle', 'Slardar', 'Clockwerk', 'Morphling', 'Slark']","['Enchantress', 'Nyx Assassin', 'Snapfire', 'Lifestealer', 'Phantom Lancer', 'Bloodseeker']","['Lich', 'Juggernaut', 'Razor', 'Batrider', 'Earthshaker']","['Weaver', 'Void Spirit', 'Mars', 'Dark Willow', 'Grimstroke']","<span class=""team__title-label"">Победа</span>",,35 : 17
67,Team Liquid vs Alliance,1.58-2.39,-,1.63-2.19,13 Февраля 18:48 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Timbersaw', 'Slardar', 'Razor', 'Dark Willow', 'Earthshaker', 'Lone Druid']","['Enchantress', 'Nyx Assassin', 'Oracle', 'Batrider', 'Beastmaster', 'Viper']","['Snapfire', 'Faceless Void', 'Tiny', 'Pugna', 'Skywrath Mage']","['Lifestealer', 'Broodmother', 'Centaur Warrunner', 'Shadow Demon', 'Lich']","<span class=""team__title-label"">Победа</span>",,33 : 11
68,Team Nigma vs Aggressive Mode,1.17-4.96,-,1.21-4.11,13 Февраля 17:10 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Aggressive Mode,"['Skiter', 'Boranija', 'SkyLark', 'lil me alone', 'SsaSpartan']","['Snapfire', 'Slardar', 'Tiny', 'Naga Siren', 'Bloodseeker', 'Slark']","['Io', 'Nyx Assassin', 'Leshrac', 'Meepo', 'Chen', 'Viper']","['Razor', 'Phantom Lancer', 'Timbersaw', 'Clockwerk', 'Batrider']","['Morphling', 'Templar Assassin', 'Legion Commander', 'Enchantress', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,33 : 13
69,Team Nigma vs Aggressive Mode,1.17-4.96,-,1.21-4.11,13 Февраля 17:10 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Aggressive Mode,"['Skiter', 'Boranija', 'SkyLark', 'lil me alone', 'SsaSpartan']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Io', 'Nyx Assassin', 'Enchantress', 'Morphling', 'Rubick', 'Earthshaker']","['Leshrac', 'Snapfire', 'Meepo', 'Troll Warlord', 'Naga Siren', 'Huskar']","['Bloodseeker', 'Templar Assassin', 'Omniknight', 'Clockwerk', 'Lich']","['Razor', 'Storm Spirit', 'Slardar', 'Skywrath Mage', 'Chen']",,"<span class=""team__title-label"">Победа</span>",8 : 30
70,Infamous Gaming vs paiN Gaming,2.56-1.46,-,2.35-1.55,13 Февраля 17:07 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Infamous Gaming,"['Papita', 'Timado', 'Robo-Z', 'Sacred', 'sl4d1n-']",paiN Gaming,"['Mandy', 'hFn', 'Kingrd', 'Dunha1', '444']","['Snapfire', 'Mars', 'Slardar', 'Bloodseeker', 'Lifestealer', 'Death Prophet']","['Void Spirit', 'Enchantress', 'Batrider', 'Timbersaw', 'Legion Commander', 'Shadow Fiend']","['Disruptor', 'Troll Warlord', 'Storm Spirit', 'Underlord', 'Clockwerk']","['Outworld Destroyer', 'Riki', 'Beastmaster', 'Earthshaker', 'Oracle']",,"<span class=""team__title-label"">Победа</span>",17 : 27
71,Infamous Gaming vs paiN Gaming,2.56-1.46,-,2.35-1.55,13 Февраля 17:07 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Infamous Gaming,"['Papita', 'Timado', 'Robo-Z', 'Sacred', 'sl4d1n-']",paiN Gaming,"['Mandy', 'hFn', 'Kingrd', 'Dunha1', '444']","['Slardar', 'Snapfire', 'Bloodseeker', 'Riki', 'Invoker', 'Outworld Destroyer']","['Enchantress', 'Void Spirit', 'Batrider', 'Lifestealer', 'Ancient Apparition', 'Shadow Fiend']","['Disruptor', 'Faceless Void', 'Leshrac', 'Timbersaw', 'Undying']","['Pugna', 'Slark', 'Mars', 'Grimstroke', 'Io']",,"<span class=""team__title-label"">Победа</span>",38 : 50
72,Alliance vs Aggressive Mode,1.23-4.12,-,1.22-3.99,13 Февраля 14:49 2020,StarLadder ImbaTV Dota 2 Minor Season 3 | Квалификации,Aggressive Mode,"['Skiter', 'Boranija', 'SkyLark', 'lil me alone', 'SsaSpartan']",Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']","['Enchantress', 'Nyx Assassin', 'Snapfire', 'Dark Seer', 'Clinkz', 'Puck']","['Leshrac', 'Disruptor', 'Batrider', 'Razor', 'Morphling', 'Pangolier']","['Phantom Lancer', 'Void Spirit', 'Lina', 'Slardar', 'Lich']","['Oracle', 'Troll Warlord', 'Pugna', 'Timbersaw', 'Clockwerk']",,"<span class=""team__title-label"">Победа</span>",15 : 30
