,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
416,TNC Predator vs Team Aster,1.50-2.60,-,1.38-2.94,19 Января 18:48 2020,DreamLeague Season 13: The Leipzig Major,TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']",Team Aster,"['Sccc', 'CHYuan', 'Borax', 'Fade']","['Treant Protector', 'Doom', 'Vengeful Spirit', 'Leshrac', 'Razor', 'Templar Assassin']","['Puck', 'Earthshaker', 'Winter Wyvern', 'Timbersaw', 'Viper', 'Slark']","['Chen', 'Riki', 'Outworld Destroyer', 'Naga Siren', 'Disruptor']","['Gyrocopter', 'Storm Spirit', 'Io', 'Crystal Maiden']",,"<span class=""team__title-label"">Победа</span>",7 : 19
417,Reality Rift vs Virtus.pro,3.77-1.27,-,3.32-1.31,19 Января 18:48 2020,DreamLeague Season 13: The Leipzig Major,Reality Rift,"['Drew', 'AlaCrity', 'kYxY', 'Hustla', 'NutZ']",Virtus.pro,"['Resolut1on', 'Nightfall', 'No[o]ne', 'Save-', 'Solo']","['Io', 'Omniknight', 'Phantom Lancer', 'Viper', 'Outworld Destroyer', 'Templar Assassin']","['Doom', 'Tiny', 'Disruptor', 'Timbersaw', 'Winter Wyvern', 'Dragon Knight']","['Slark', 'Meepo', 'Centaur Warrunner', 'Rubick', 'Lich']","['Legion Commander', 'Drow Ranger', 'Puck', 'Skywrath Mage', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,39 : 30
418,Reality Rift vs Virtus.pro,3.77-1.27,-,3.32-1.31,19 Января 18:48 2020,DreamLeague Season 13: The Leipzig Major,Virtus.pro,"['Nightfall', 'Resolut1on', 'No[o]ne', 'Save-', 'Solo']",Reality Rift,"['Drew', 'AlaCrity', 'kYxY', 'Hustla', 'NutZ']","['Timbersaw', 'Treant Protector', 'Doom', 'Magnus', 'Alchemist', 'Lifestealer']","['Io', 'Phantom Lancer', 'Slark', 'Viper', 'Razor', 'Huskar']","['Naga Siren', 'Underlord', 'Death Prophet', 'Disruptor', 'Dazzle']","['Leshrac', 'Templar Assassin', 'Omniknight', 'Rubick', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",18 : 30
419,ViKin.gg vs Godsent,1.71-2.16,-,1.65-2.18,19 Января 18:03 2020,Hainan Master Invitational (Spring) | Квалификации,Godsent,"['okcya', 'W1sh-', 'Buugi', 'Era', 'NoiA']",ViKin.gg,"['Shad', 'BOOM', 'Tobi', 'Aramis', 'Seleri']","['Slark', 'Lich', 'Drow Ranger', 'Batrider', 'Doom', 'Huskar']","['Omniknight', 'Abaddon', 'Magnus', 'Shadow Fiend', 'Outworld Destroyer', 'Lifestealer']","['Treant Protector', 'Timbersaw', 'Puck', 'Lone Druid', 'Disruptor']","['Ursa', 'Tiny', 'Centaur Warrunner', 'Io', 'Chen']",,"<span class=""team__title-label"">Победа</span>",8 : 13
420,ViKin.gg vs Godsent,1.71-2.16,-,1.65-2.18,19 Января 18:03 2020,Hainan Master Invitational (Spring) | Квалификации,ViKin.gg,"['Shad', 'BOOM', 'Tobi', 'Aramis', 'Seleri']",Godsent,"['okcya', 'W1sh-', 'Buugi', 'Era', 'NoiA']","['Omniknight', 'Abaddon', 'Rubick', 'Outworld Destroyer', 'Shadow Fiend', 'Pugna']","['Io', 'Treant Protector', 'Chen', 'Drow Ranger', 'Bloodseeker', 'Phantom Lancer']","['Ursa', 'Magnus', 'Puck', 'Elder Titan', 'Lich']","['Enchantress', 'Huskar', 'Doom', 'Slark', 'Winter Wyvern']",,"<span class=""team__title-label"">Победа</span>",14 : 19
421,ViKin.gg vs Godsent,1.71-2.16,-,1.65-2.18,19 Января 18:03 2020,Hainan Master Invitational (Spring) | Квалификации,ViKin.gg,"['Shad', 'BOOM', 'Tobi', 'Aramis', 'Seleri']",Godsent,"['okcya', 'W1sh-', 'Buugi', 'NoiA', 'Era']","['Rubick', 'Disruptor', 'Doom', 'Outworld Destroyer', 'Abaddon', 'Timbersaw']","['Io', 'Treant Protector', 'Chen', 'Bloodseeker', 'Drow Ranger', 'Puck']","['Lycan', 'Shadow Fiend', 'Beastmaster', 'Winter Wyvern', 'Omniknight']","['Lich', 'Zeus', 'Tidehunter', 'Lina', 'Slark']","<span class=""team__title-label"">Победа</span>",,33 : 16
422,Evil Geniuses vs paiN Gaming,1.13-5.89,-,1.10-6.41,19 Января 17:48 2020,DreamLeague Season 13: The Leipzig Major,Evil Geniuses,"['Arteezy', 'Abed', 'RAMZES666', 'Cr1t-', 'Fly']",paiN Gaming,"['hFn', 'Mandy', 'Kingrd', 'Dunha1', '444']","['Doom', 'Puck', 'Outworld Destroyer', 'Beastmaster', 'Enigma', 'Viper']","['Omniknight', 'Enchantress', 'Abaddon', 'Batrider', 'Rubick', 'Templar Assassin']","['Slark', 'Storm Spirit', 'Venomancer', 'Tiny', 'Io']","['Bloodseeker', 'Windranger', 'Legion Commander', 'Earthshaker', 'Lich']","<span class=""team__title-label"">Победа</span>",,27 : 13
423,Evil Geniuses vs paiN Gaming,1.13-5.89,-,1.10-6.41,19 Января 17:48 2020,DreamLeague Season 13: The Leipzig Major,Evil Geniuses,"['Arteezy', 'Abed', 'RAMZES666', 'Cr1t-', 'Fly']",paiN Gaming,"['hFn', 'Mandy', 'Kingrd', 'Dunha1', '444']","['Enchantress', 'Omniknight', 'Disruptor', 'Templar Assassin', 'Underlord', 'Ursa']","['Doom', 'Slark', 'Io', 'Batrider', 'Naga Siren', 'Legion Commander']","['Phantom Lancer', 'Puck', 'Timbersaw', 'Tiny', 'Chen']","['Lifestealer', 'Shadow Fiend', 'Beastmaster', 'Rubick', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,26 : 5
424,Natus Vincere vs Team Liquid,1.76-2.09,-,1.78-1.99,19 Января 15:34 2020,DreamLeague Season 13: The Leipzig Major,Natus Vincere,"['Crystallize', 'MagicaL', '9pasha', 'Zayac', 'Kingslayer']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Timbersaw', 'Rubick', 'Lone Druid', 'Omniknight', 'Earthshaker', 'Leshrac']","['Templar Assassin', 'Lich', 'Disruptor', 'Viper', 'Drow Ranger', 'Lina']","['Naga Siren', 'Puck', 'Enigma', 'Tiny', 'Ancient Apparition']","['Slark', 'Magnus', 'Phoenix', 'Sand King', 'Io']","<span class=""team__title-label"">Победа</span>",,33 : 8
425,Natus Vincere vs Team Liquid,1.76-2.09,-,1.78-1.99,19 Января 15:34 2020,DreamLeague Season 13: The Leipzig Major,Natus Vincere,"['Crystallize', 'MagicaL', '9pasha', 'Zayac', 'Kingslayer']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Timbersaw', 'Lone Druid', 'Slark', 'Naga Siren', 'Morphling', 'Razor']","['Templar Assassin', 'Tiny', 'Lich', 'Drow Ranger', 'Viper', 'Leshrac']","['Lifestealer', 'Puck', 'Underlord', 'Doom', 'Winter Wyvern']","['Phantom Lancer', 'Outworld Destroyer', 'Abaddon', 'Earthshaker', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,33 : 6
426,Team Nigma vs Fnatic,1.49-2.64,-,1.48-2.57,19 Января 15:33 2020,DreamLeague Season 13: The Leipzig Major,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Io', 'Disruptor', 'Doom', 'Outworld Destroyer', 'Shadow Fiend', 'Ember Spirit']","['Magnus', 'Puck', 'Tiny', 'Timbersaw', 'Naga Siren', 'Kunkka']","['Medusa', 'Batrider', 'Clockwerk', 'Vengeful Spirit', 'Crystal Maiden']","['Lina', 'Phantom Lancer', 'Dark Seer', 'Elder Titan', 'Lich']",,"<span class=""team__title-label"">Победа</span>",46 : 36
427,Team Nigma vs Fnatic,1.49-2.64,-,1.48-2.57,19 Января 15:33 2020,DreamLeague Season 13: The Leipzig Major,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Outworld Destroyer', 'Abaddon', 'Puck', 'Ember Spirit', 'Crystal Maiden', 'Shadow Fiend']","['Io', 'Doom', 'Disruptor', 'Timbersaw', 'Grimstroke', 'Lina']","['Phantom Lancer', 'Viper', 'Necrophos', 'Lich', 'Earthshaker']","['Zeus', 'Slark', 'Omniknight', 'Tiny', 'Chen']",,"<span class=""team__title-label"">Победа</span>",26 : 42
428,Team Secret vs beastcoast,1.15-5.38,-,1.14-5.32,19 Января 15:33 2020,DreamLeague Season 13: The Leipzig Major,Team Secret,"['MATUMBAMAN', 'Nisha', 'zai', 'YapzOr', 'Puppey']",beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Lelis', 'Scofield']","['Doom', 'Io', 'Templar Assassin', 'Clockwerk', 'Beastmaster', 'Batrider']","['Slark', 'Dark Seer', 'Omniknight', 'Outworld Destroyer', 'Timbersaw', 'Lone Druid']","['Magnus', 'Troll Warlord', 'Puck', 'Disruptor', 'Treant Protector']","['Lich', 'Abaddon', 'Monkey King', 'Mars', 'Tusk']","<span class=""team__title-label"">Победа</span>",,32 : 2
429,Team Secret vs beastcoast,1.15-5.38,-,1.14-5.32,19 Января 15:33 2020,DreamLeague Season 13: The Leipzig Major,beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Lelis', 'Scofield']",Team Secret,"['MATUMBAMAN', 'Nisha', 'zai', 'YapzOr', 'Puppey']","['Slark', 'Dark Seer', 'Omniknight', 'Lich', 'Lone Druid', 'Magnus']","['Disruptor', 'Treant Protector', 'Abaddon', 'Lifestealer', 'Tusk', 'Riki']","['Grimstroke', 'Tiny', 'Templar Assassin', 'Beastmaster', 'Puck']","['Morphling', 'Kunkka', 'Doom', 'Rubick', 'Bane']",,"<span class=""team__title-label"">Победа</span>",7 : 39
430,Invictus Gaming vs Alliance,2.25-1.65,-,2.29-1.59,19 Января 15:33 2020,DreamLeague Season 13: The Leipzig Major,Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Shadow Fiend', 'Enchantress', 'Doom', 'Invoker', 'Lich', 'Morphling']","['Phantom Lancer', 'Io', 'Slark', 'Tiny', 'Naga Siren', 'Puck']","['Venomancer', 'Spectre', 'Dragon Knight', 'Brewmaster', 'Disruptor']","['Drow Ranger', 'Storm Spirit', 'Legion Commander', 'Skywrath Mage', 'Treant Protector']",,"<span class=""team__title-label"">Победа</span>",49 : 47
431,Invictus Gaming vs Alliance,2.25-1.65,-,2.29-1.59,19 Января 15:33 2020,DreamLeague Season 13: The Leipzig Major,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']","['Slark', 'Io', 'Treant Protector', 'Lifestealer', 'Magnus', 'Drow Ranger']","['Disruptor', 'Batrider', 'Lich', 'Morphling', 'Phantom Lancer', 'Queen of Pain']","['Gyrocopter', 'Arc Warden', 'Omniknight', 'Earthshaker', 'Bane']","['Venomancer', 'Shadow Fiend', 'Razor', 'Timbersaw', 'Doom']","<span class=""team__title-label"">Победа</span>",,36 : 22
432,Team Liquid vs paiN Gaming,1.25-3.89,-,1.23-3.97,18 Января 19:42 2020,DreamLeague Season 13: The Leipzig Major,Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']",paiN Gaming,"['Mandy', 'hFn', 'Kingrd', 'Dunha1', '444']","['Treant Protector', 'Enchantress', 'Templar Assassin', 'Batrider', 'Rubick', 'Shadow Fiend']","['Lone Druid', 'Timbersaw', 'Disruptor', 'Outworld Destroyer', 'Bloodseeker', 'Huskar']","['Morphling', 'Tiny', 'Sand King', 'Lina', 'Io']","['Puck', 'Slark', 'Doom', 'Earthshaker', 'Lich']",,"<span class=""team__title-label"">Победа</span>",11 : 42
433,Team Liquid vs paiN Gaming,1.25-3.89,-,1.23-3.97,18 Января 19:42 2020,DreamLeague Season 13: The Leipzig Major,paiN Gaming,"['hFn', 'Mandy', 'Kingrd', 'Dunha1', '444']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Lone Druid', 'Timbersaw', 'Lich', 'Huskar', 'Drow Ranger', 'Outworld Destroyer']","['Enchantress', 'Doom', 'Treant Protector', 'Slark', 'Razor', 'Templar Assassin']","['Magnus', 'Ember Spirit', 'Mars', 'Dark Willow', 'Winter Wyvern']","['Naga Siren', 'Leshrac', 'Abaddon', 'Rubick', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",12 : 31
434,Team Liquid vs paiN Gaming,1.25-3.89,-,1.23-3.97,18 Января 19:42 2020,DreamLeague Season 13: The Leipzig Major,paiN Gaming,"['Mandy', 'hFn', 'Kingrd', 'Dunha1', '444']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Lone Druid', 'Timbersaw', 'Abaddon', 'Outworld Destroyer', 'Bloodseeker', 'Huskar']","['Enchantress', 'Treant Protector', 'Disruptor', 'Puck', 'Rubick', 'Venomancer']","['Templar Assassin', 'Slark', 'Axe', 'Clockwerk', 'Lich']","['Faceless Void', 'Viper', 'Doom', 'Earthshaker', 'Ancient Apparition']",,"<span class=""team__title-label"">Победа</span>",22 : 38
435,beastcoast vs Chaos Esports Club,2.43-1.56,-,2.43-1.53,18 Января 19:33 2020,DreamLeague Season 13: The Leipzig Major,beastcoast,"['StingerR', 'K1', 'Chris Luck', 'Lelis', 'Scofield']",Chaos Esports Club,"['YawaR', 'Quinn', 'DM', 'MSS', 'SVG']","['Omniknight', 'Puck', 'Batrider', 'Zeus', 'Ember Spirit', 'Shadow Fiend']","['Doom', 'Io', 'Treant Protector', 'Timbersaw', 'Tiny', 'Pangolier']","['Lich', 'Bloodseeker', 'Windranger', 'Beastmaster', 'Tusk']","['Drow Ranger', 'Storm Spirit', 'Abaddon', 'Disruptor', 'Vengeful Spirit']","<span class=""team__title-label"">Победа</span>",,34 : 22
436,beastcoast vs Chaos Esports Club,2.43-1.56,-,2.43-1.53,18 Января 19:33 2020,DreamLeague Season 13: The Leipzig Major,beastcoast,"['K1', 'StingerR', 'Chris Luck', 'Lelis', 'Scofield']",Chaos Esports Club,"['YawaR', 'Quinn', 'DM', 'MSS', 'SVG']","['Omniknight', 'Io', 'Treant Protector', 'Slark', 'Phantom Lancer', 'Ember Spirit']","['Puck', 'Magnus', 'Lich', 'Bloodseeker', 'Timbersaw', 'Zeus']","['Abaddon', 'Grimstroke', 'Monkey King', 'Batrider', 'Clockwerk']","['Naga Siren', 'Pangolier', 'Doom', 'Rubick', 'Enchantress']","<span class=""team__title-label"">Победа</span>",,42 : 22
437,Alliance vs Virtus.pro,1.70-2.16,-,1.70-2.10,18 Января 19:09 2020,DreamLeague Season 13: The Leipzig Major,Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']",Virtus.pro,"['Resolut1on', 'Nightfall', 'No[o]ne', 'Save-', 'Solo']","['Phantom Lancer', 'Disruptor', 'Winter Wyvern', 'Grimstroke', 'Rubick', 'Kunkka']","['Timbersaw', 'Puck', 'Tiny', 'Outworld Destroyer', 'Legion Commander', 'Viper']","['Treant Protector', 'Gyrocopter', 'Windranger', 'Doom', 'Io']","['Omniknight', 'Slark', 'Magnus', 'Batrider', 'Lich']","<span class=""team__title-label"">Победа</span>",,27 : 15
438,Alliance vs Virtus.pro,1.70-2.16,-,1.70-2.10,18 Января 19:09 2020,DreamLeague Season 13: The Leipzig Major,Alliance,"['FATA-', 'Nikobaby', 'Limmp', '33', 'Handsken']",Virtus.pro,"['Nightfall', 'Resolut1on', 'No[o]ne', 'Save-', 'Solo']","['Phantom Lancer', 'Disruptor', 'Omniknight', 'Batrider', 'Morphling', 'Templar Assassin']","['Timbersaw', 'Doom', 'Io', 'Slark', 'Bloodseeker', 'Brewmaster']","['Treant Protector', 'Lifestealer', 'Puck', 'Enchantress', 'Winter Wyvern']","['Gyrocopter', 'Legion Commander', 'Alchemist', 'Rubick', 'Lich']","<span class=""team__title-label"">Победа</span>",,27 : 10
439,Fnatic vs Team Aster,1.81-2.03,-,1.75-2.03,18 Января 18:54 2020,DreamLeague Season 13: The Leipzig Major,Team Aster,"['Sccc', 'CHYuan', 'Fade', 'Borax', '23savage']",Fnatic,"['Moon', 'iceiceice', 'Jabz', 'DJ']","['Io', 'Timbersaw', 'Treant Protector', 'Shadow Fiend', 'Omniknight', 'Tiny']","['Drow Ranger', 'Doom', 'Lich', 'Legion Commander', 'Outworld Destroyer', 'Batrider']","['Gyrocopter', 'Magnus', 'Rubick', 'Abaddon', 'Naga Siren']","['Viper', 'Necrophos', 'Puck', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",34 : 21
440,Fnatic vs Team Aster,1.81-2.03,-,1.75-2.03,18 Января 18:54 2020,DreamLeague Season 13: The Leipzig Major,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",Team Aster,"['Sccc', 'CHYuan', 'Fade', 'Borax']","['Slark', 'Legion Commander', 'Abaddon', 'Oracle', 'Phantom Lancer', 'Gyrocopter']","['Naga Siren', 'Timbersaw', 'Io', 'Drow Ranger', 'Viper', 'Brewmaster']","['Medusa', 'Magnus', 'Pangolier', 'Vengeful Spirit', 'Disruptor']","['Morphling', 'Outworld Destroyer', 'Rubick', 'Elder Titan']","<span class=""team__title-label"">Победа</span>",,22 : 6
441,Invictus Gaming vs Reality Rift,1.09-7.13,-,1.16-4.81,18 Января 15:36 2020,DreamLeague Season 13: The Leipzig Major,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Reality Rift,"['Drew', 'AlaCrity', 'kYxY', 'Hustla', 'NutZ']","['Treant Protector', 'Doom', 'Io', 'Chen', 'Disruptor', 'Nyx Assassin']","['Viper', 'Huskar', 'Winter Wyvern', 'Drow Ranger', 'Bloodseeker', 'Leshrac']","['Outworld Destroyer', 'Shadow Fiend', 'Centaur Warrunner', 'Rubick', 'Lich']","['Slark', 'Templar Assassin', 'Omniknight', 'Skywrath Mage', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",22 : 28
442,Invictus Gaming vs Reality Rift,1.09-7.13,-,1.16-4.81,18 Января 15:36 2020,DreamLeague Season 13: The Leipzig Major,Reality Rift,"['Drew', 'AlaCrity', 'kYxY', 'Hustla', 'NutZ']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Treant Protector', 'Viper', 'Drow Ranger', 'Huskar', 'Timbersaw', 'Leshrac']","['Omniknight', 'Skywrath Mage', 'Slark', 'Outworld Destroyer', 'Templar Assassin', 'Puck']","['Phantom Lancer', 'Shadow Fiend', 'Abaddon', 'Rubick', 'Bane']","['Morphling', 'Storm Spirit', 'Earthshaker', 'Tusk', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",8 : 30
443,Invictus Gaming vs Reality Rift,1.09-7.13,-,1.16-4.81,18 Января 15:36 2020,DreamLeague Season 13: The Leipzig Major,Reality Rift,"['Drew', 'AlaCrity', 'kYxY', 'Hustla', 'NutZ']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Viper', 'Vengeful Spirit', 'Treant Protector', 'Huskar', 'Storm Spirit', 'Puck']","['Omniknight', 'Skywrath Mage', 'Slark', 'Abaddon', 'Templar Assassin', 'Meepo']","['Drow Ranger', 'Outworld Destroyer', 'Legion Commander', 'Rubick', 'Winter Wyvern']","['Monkey King', 'Arc Warden', 'Doom', 'Disruptor', 'Lich']",,"<span class=""team__title-label"">Победа</span>",8 : 47
444,TNC Predator vs Team Nigma,2.07-1.77,-,2.11-1.69,18 Января 15:35 2020,DreamLeague Season 13: The Leipzig Major,TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Elder Titan', 'Lich', 'Viper', 'Phantom Lancer', 'Ember Spirit', 'Templar Assassin']","['Omniknight', 'Doom', 'Abaddon', 'Naga Siren', 'Slark', 'Invoker']","['Io', 'Faceless Void', 'Lina', 'Timbersaw', 'Disruptor']","['Windranger', 'Lifestealer', 'Batrider', 'Earthshaker', 'Warlock']","<span class=""team__title-label"">Победа</span>",,36 : 14
445,TNC Predator vs Team Nigma,2.07-1.77,-,2.11-1.69,18 Января 15:35 2020,DreamLeague Season 13: The Leipzig Major,TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Elder Titan', 'Doom', 'Io', 'Slark', 'Huskar', 'Lifestealer']","['Omniknight', 'Disruptor', 'Earthshaker', 'Chen', 'Drow Ranger', 'Faceless Void']","['Vengeful Spirit', 'Shadow Fiend', 'Puck', 'Underlord', 'Rubick']","['Outworld Destroyer', 'Ember Spirit', 'Abaddon', 'Tiny', 'Lich']",,"<span class=""team__title-label"">Победа</span>",14 : 39
446,TNC Predator vs Team Nigma,2.07-1.77,-,2.11-1.69,18 Января 15:35 2020,DreamLeague Season 13: The Leipzig Major,TNC Predator,"['March', 'Gabbi', 'Armel', 'kpii', 'Tims']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Lich', 'Elder Titan', 'Viper', 'Phantom Lancer', 'Winter Wyvern', 'Ember Spirit']","['Doom', 'Io', 'Disruptor', 'Templar Assassin', 'Razor', 'Earthshaker']","['Abaddon', 'Drow Ranger', 'Huskar', 'Venomancer', 'Vengeful Spirit']","['Outworld Destroyer', 'Slark', 'Omniknight', 'Tiny', 'Chen']",,"<span class=""team__title-label"">Победа</span>",1 : 25
447,OG.Seed vs ViKin.gg,1.65-2.15,-,1.78-1.97,17 Января 23:47 2020,Hainan Master Invitational (Spring) | Квалификации,OG.Seed,"['Madara', 'Chessie', 'Zfreek', 'Peksu', 'Xibbe']",ViKin.gg,"['Shad', 'BOOM', 'Tobi', 'Aramis', 'Seleri']","['Chaos Knight', 'Ursa', 'Slark', 'Tiny', 'Chen', 'Doom']","['Huskar', 'Phantom Lancer', 'Beastmaster', 'Omniknight', 'Treant Protector', 'Magnus']","['Drow Ranger', 'Razor', 'Puck', 'Abaddon', 'Winter Wyvern']","['Vengeful Spirit', 'Templar Assassin', 'Batrider', 'Io', 'Lich']",,"<span class=""team__title-label"">Победа</span>",26 : 38
448,OG.Seed vs ViKin.gg,1.65-2.15,-,1.78-1.97,17 Января 23:47 2020,Hainan Master Invitational (Spring) | Квалификации,ViKin.gg,"['Shad', 'BOOM', 'Tobi', 'Aramis', 'Seleri']",OG.Seed,"['Madara', 'Chessie', 'Zfreek', 'Xibbe', 'Peksu']","['Magnus', 'Io', 'Rubick', 'Timbersaw', 'Doom', 'Razor']","['Tiny', 'Abaddon', 'Chen', 'Slark', 'Batrider', 'Templar Assassin']","['Drow Ranger', 'Huskar', 'Omniknight', 'Lich', 'Ancient Apparition']","['Morphling', 'Puck', 'Shadow Demon', 'Brewmaster', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,31 : 17
449,OG.Seed vs Aggressive Mode,1.85-1.88,-,2.48-1.50,17 Января 20:04 2020,Hainan Master Invitational (Spring) | Квалификации,Aggressive Mode,"['Skiter', 'Boranija', 'SkyLark', 'SsaSpartan', 'lil me alone']",OG.Seed,"['Madara', 'Chessie', 'Zfreek', 'Xibbe', 'Peksu']","['Io', 'Treant Protector', 'Magnus', 'Lich', 'Chen', 'Puck']","['Abaddon', 'Pangolier', 'Tiny', 'Bloodseeker', 'Lifestealer', 'Timbersaw']","['Drow Ranger', 'Shadow Fiend', 'Beastmaster', 'Disruptor', 'Enchantress']","['Phantom Lancer', 'Kunkka', 'Rubick', 'Doom', 'Winter Wyvern']","<span class=""team__title-label"">Победа</span>",,25 : 8
450,OG.Seed vs Aggressive Mode,1.85-1.88,-,2.48-1.50,17 Января 20:04 2020,Hainan Master Invitational (Spring) | Квалификации,OG.Seed,"['Madara', 'Chessie', 'Zfreek', 'Peksu', 'Xibbe']",Aggressive Mode,"['Skiter', 'Boranija', 'SkyLark', 'lil me alone', 'SsaSpartan']","['Enchantress', 'Beastmaster', 'Tiny', 'Underlord', 'Drow Ranger', 'Morphling']","['Treant Protector', 'Io', 'Magnus', 'Slark', 'Alchemist', 'Huskar']","['Terrorblade', 'Kunkka', 'Puck', 'Lich', 'Omniknight']","['Naga Siren', 'Pangolier', 'Abaddon', 'Rubick', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,24 : 19
451,OG.Seed vs Aggressive Mode,1.85-1.88,-,2.48-1.50,17 Января 20:04 2020,Hainan Master Invitational (Spring) | Квалификации,OG.Seed,"['Madara', 'Chessie', 'Zfreek', 'Xibbe', 'Peksu']",Aggressive Mode,"['Skiter', 'Boranija', 'SkyLark', 'SsaSpartan', 'lil me alone']","['Enchantress', 'Beastmaster', 'Pangolier', 'Doom', 'Brewmaster', 'Shadow Fiend']","['Io', 'Treant Protector', 'Magnus', 'Slark', 'Drow Ranger', 'Kunkka']","['Riki', 'Dragon Knight', 'Rubick', 'Omniknight', 'Lich']","['Morphling', 'Lina', 'Underlord', 'Elder Titan', 'Puck']",,"<span class=""team__title-label"">Победа</span>",30 : 26
452,Chicken Fighters vs Godsent,2.10-1.75,-,1.83-1.91,16 Января 22:04 2020,Hainan Master Invitational (Spring) | Квалификации,Godsent,"['okcya', 'W1sh-', 'Buugi', 'NoiA', 'Era']",Chicken Fighters,"['Charlie', 'Supream', 'SabeRLighT-', 'MiLAN', 'SoNNeikO']","['Abaddon', 'Lich', 'Rubick', 'Drow Ranger', 'Templar Assassin', 'Outworld Destroyer']","['Omniknight', 'Winter Wyvern', 'Treant Protector', 'Legion Commander', 'Shadow Fiend', 'Underlord']","['Elder Titan', 'Magnus', 'Beastmaster', 'Puck', 'Lifestealer']","['Lone Druid', 'Clinkz', 'Doom', 'Disruptor', 'Lion']",,"<span class=""team__title-label"">Победа</span>",27 : 21
453,Chicken Fighters vs Godsent,2.10-1.75,-,1.83-1.91,16 Января 22:04 2020,Hainan Master Invitational (Spring) | Квалификации,Chicken Fighters,"['Charlie', 'Supream', 'SabeRLighT-', 'MiLAN', 'SoNNeikO']",Godsent,"['okcya', 'W1sh-', 'Buugi', 'Era', 'NoiA']","['Winter Wyvern', 'Elder Titan', 'Magnus', 'Underlord', 'Brewmaster', 'Viper']","['Omniknight', 'Abaddon', 'Treant Protector', 'Disruptor', 'Doom', 'Centaur Warrunner']","['Lone Druid', 'Shadow Fiend', 'Puck', 'Spirit Breaker', 'Chen']","['Lich', 'Tiny', 'Beastmaster', 'Drow Ranger', 'Rubick']","<span class=""team__title-label"">Победа</span>",,15 : 4
