,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
0,Team Aster vs EHOME,2.20-1.68,-,2.09-1.69,25 Июля 10:16 2020,DPL-CDA Professional League Season 2,EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'XinQ', 'y`']",Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Borax', 'Fade']","['Io', 'Batrider', 'Enigma', 'Doom', 'Anti-Mage', 'Faceless Void', 'Clinkz']","[""Nature's Prophet"", 'Treant Protector', 'Viper', 'Kunkka', 'Puck', 'Earthshaker', 'Disruptor']","['Spectre', 'Zeus', 'Pangolier', 'Mirana', 'Clockwerk']","['Lifestealer', 'Queen of Pain', 'Tidehunter', 'Enchantress', 'Shadow Shaman']","<span class=""team__title-label"">Победа</span>",,31 : 7
1,Team Aster vs EHOME,2.20-1.68,-,2.09-1.69,25 Июля 10:16 2020,DPL-CDA Professional League Season 2,Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Borax', 'Fade']",EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'XinQ', 'y`']","['Techies', 'Mirana', 'Zeus', 'Pangolier', 'Spectre', 'Leshrac', 'Ember Spirit']","['Io', 'Batrider', 'Kunkka', 'Terrorblade', 'Faceless Void', 'Void Spirit', 'Invoker']","['Naga Siren', 'Windranger', 'Mars', 'Clockwerk', 'Phoenix']","['Juggernaut', ""Nature's Prophet"", 'Brewmaster', 'Earth Spirit', 'Snapfire']",,"<span class=""team__title-label"">Победа</span>",22 : 38
2,business associates vs Quincy Crew,1.96-1.78,-,5.06(10.09)2.53,25 Июля 03:19 2020,The Great American Rivalry Division 1 Season 1,Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']",business associates,"['Fear', 'EternaLEnVy', 'Moo', 'brax', 'Sneyking']","['Doom', 'Tiny', 'Viper', 'Death Prophet', 'Ogre Magi', 'Morphling', 'Slark']","['Void Spirit', ""Nature's Prophet"", 'Silencer', 'Legion Commander', 'Kunkka', 'Faceless Void', 'Gyrocopter']","['Weaver', 'Ember Spirit', 'Abaddon', 'Rubick', 'Mirana']","['Crystal Maiden', 'Queen of Pain', 'Juggernaut', 'Batrider', 'Earthshaker']","<span class=""team__title-label"">Победа</span>",,23 : 10
3,business associates vs Quincy Crew,1.96-1.78,-,5.06(10.09)2.53,25 Июля 03:19 2020,The Great American Rivalry Division 1 Season 1,business associates,"['Fear', 'EternaLEnVy', 'brax', 'Moo', 'Sneyking']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Void Spirit', ""Nature's Prophet"", 'Queen of Pain', 'Lina', 'Invoker', 'Necrophos', 'Mars']","['Doom', 'Viper', 'Beastmaster', 'Chen', 'Venomancer', 'Anti-Mage', 'Spectre']","['Earthshaker', 'Death Prophet', 'Legion Commander', 'Sven', 'Windranger']","['Medusa', 'Leshrac', 'Sand King', 'Tiny', 'Silencer']",,"<span class=""team__title-label"">Победа</span>",15 : 28
4,Quincy Crew vs 4 Zoomers,1.95-1.79,-,1.90(1.89)5.85,25 Июля 01:06 2020,The Great American Rivalry Division 1 Season 1,4 Zoomers,"['Sammyboy', 'Gunnar', 'monkeys-forever', 'Oceania', 'Husky']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Ember Spirit', 'Death Prophet', 'Beastmaster', 'Sand King', 'Spectre', 'Naga Siren', 'Morphling']","['Doom', 'Void Spirit', 'Kunkka', 'Viper', 'Troll Warlord', 'Broodmother', 'Batrider']","['Faceless Void', 'Invoker', 'Centaur Warrunner', 'Tiny', 'Snapfire']","['Medusa', 'Queen of Pain', 'Legion Commander', 'Phoenix', 'Clockwerk']","<span class=""team__title-label"">Победа</span>",,21 : 27
5,Quincy Crew vs 4 Zoomers,1.95-1.79,-,1.90(1.89)5.85,25 Июля 01:06 2020,The Great American Rivalry Division 1 Season 1,Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']",4 Zoomers,"['Sammyboy', 'Gunnar', 'monkeys-forever', 'Oceania', 'Husky']","['Tiny', 'Batrider', 'Sand King', 'Sven', 'Spectre', 'Invoker', 'Broodmother']","['Ember Spirit', 'Void Spirit', 'Morphling', 'Death Prophet', 'Underlord', 'Queen of Pain', 'Kunkka']","['Medusa', 'Leshrac', ""Nature's Prophet"", 'Winter Wyvern', 'Nyx Assassin']","['Riki', 'Pangolier', 'Doom', 'Dark Seer', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",17 : 32
6,Vira Lata Caramelo vs CR4ZY,-,-,13.36(12.52)1.18,24 Июля 23:06 2020,The Great American Rivalry Division 1 Season 1,Vira Lata Caramelo,"['Arms', 'the demons told me', 'H1j4ck', 'Kaffurtado', 'Patati']",CR4ZY,"['hFn', 'bryle', 'KheZu', 'MoonMeander', 'Aui_2000']","['Ember Spirit', 'Doom', 'Spectre', 'Mirana', 'Arc Warden', 'Timbersaw', 'Kunkka']","['Brewmaster', 'Legion Commander', 'Slark', 'Faceless Void', 'Beastmaster', 'Queen of Pain', 'Lina']","['Lifestealer', 'Rubick', 'Centaur Warrunner', 'Tiny', 'Enchantress']","['Medusa', 'Death Prophet', 'Batrider', 'Treant Protector', 'Lich']",,"<span class=""team__title-label"">Победа</span>",11 : 48
7,Vira Lata Caramelo vs CR4ZY,-,-,13.36(12.52)1.18,24 Июля 23:06 2020,The Great American Rivalry Division 1 Season 1,CR4ZY,"['hFn', 'bryle', 'KheZu', 'MoonMeander', 'Aui_2000']",Vira Lata Caramelo,"['Arms', 'the demons told me', 'H1j4ck', 'Kaffurtado', 'Patati']","['Brewmaster', 'Mirana', 'Morphling', 'Kunkka', 'Puck', 'Templar Assassin', 'Storm Spirit']","['Ember Spirit', 'Viper', 'Ursa', 'Alchemist', 'Terrorblade', 'Invoker', 'Queen of Pain']","['Slark', 'Zeus', 'Centaur Warrunner', 'Phoenix', 'Ogre Magi']","['Spectre', 'Leshrac', 'Doom', 'Rubick', 'Undying']","<span class=""team__title-label"">Победа</span>",,54 : 13
8,Midas Club vs Thunder Predator,2.83-1.39,-,9.23(6.21)1.43,24 Июля 03:29 2020,The Great American Rivalry Division 1 Season 1,Midas Club,"['21 21 21', 'Sexyfat', 'RdO-', 'Hyko', 'Duster']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']","['Beastmaster', 'Underlord', 'Jakiro', 'Batrider', 'Undying', 'Puck', 'Clockwerk']","['Necrophos', 'Treant Protector', 'Timbersaw', 'Centaur Warrunner', 'Tidehunter', 'Kunkka', 'Invoker']","['Death Prophet', 'Sand King', 'Anti-Mage', 'Tusk', 'Winter Wyvern']","['Spectre', 'Queen of Pain', ""Nature's Prophet"", 'Ember Spirit', 'Lich']",,"<span class=""team__title-label"">Победа</span>",23 : 41
9,Midas Club vs Thunder Predator,2.83-1.39,-,9.23(6.21)1.43,24 Июля 03:29 2020,The Great American Rivalry Division 1 Season 1,Midas Club,"['21 21 21', 'Sexyfat', 'RdO-', 'Hyko', 'Duster']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']","['Beastmaster', 'Spectre', 'Phantom Lancer', 'Tiny', 'Queen of Pain', 'Ember Spirit', 'Puck']","['Necrophos', 'Winter Wyvern', 'Timbersaw', 'Kunkka', 'Sand King', 'Invoker', 'Death Prophet']","['Void Spirit', 'Underlord', 'Terrorblade', 'Treant Protector', 'Lion']","['Slark', 'Legion Commander', ""Nature's Prophet"", 'Leshrac', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",21 : 36
10,CR4ZY vs Quincy Crew,1.71-2.06,-,5.47(9.22)2.01,24 Июля 00:40 2020,The Great American Rivalry Division 1 Season 1,CR4ZY,"['hFn', 'bryle', 'KheZu', 'MoonMeander', 'Aui_2000']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Phoenix', 'Legion Commander', 'Storm Spirit', 'Death Prophet', 'Slark', 'Lifestealer', 'Ursa']","['Doom', 'Tiny', ""Nature's Prophet"", 'Beastmaster', 'Batrider', 'Medusa', 'Gyrocopter']","['Arc Warden', 'Ember Spirit', 'Centaur Warrunner', 'Rubick', 'Clockwerk']","['Morphling', 'Void Spirit', 'Necrophos', 'Earthshaker', 'Mirana']",,"<span class=""team__title-label"">Победа</span>",32 : 37
11,CR4ZY vs Quincy Crew,1.71-2.06,-,5.47(9.22)2.01,24 Июля 00:40 2020,The Great American Rivalry Division 1 Season 1,CR4ZY,"['hFn', 'bryle', 'KheZu', 'MoonMeander', 'Aui_2000']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Phoenix', 'Legion Commander', 'Puck', 'Spectre', 'Batrider', 'Morphling', 'Gyrocopter']","['Doom', 'Tiny', 'Beastmaster', 'Sand King', 'Medusa', 'Underlord', 'Centaur Warrunner']","['Terrorblade', 'Ember Spirit', 'Night Stalker', 'Shadow Demon', 'Mirana']","['Naga Siren', 'Death Prophet', ""Nature's Prophet"", 'Earthshaker', 'Nyx Assassin']",,"<span class=""team__title-label"">Победа</span>",25 : 37
12,Midas Club vs Quincy Crew,3.80-1.24,-,11.49(1.01)1.30,23 Июля 22:30 2020,The Great American Rivalry Division 1 Season 1,Midas Club,"['21 21 21', 'Sexyfat', 'Hyko', 'RdO-', 'Duster']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Legion Commander', 'Beastmaster', 'Clockwerk', 'Phantom Lancer', 'Sand King', 'Sven', 'Ursa']","['Winter Wyvern', ""Nature's Prophet"", 'Doom', 'Necrophos', 'Anti-Mage', 'Phoenix', 'Viper']","['Invoker', 'Pangolier', 'Treant Protector', 'Spectre', 'Lion']","['Lifestealer', 'Ember Spirit', 'Slardar', 'Dark Seer', 'Mirana']","<span class=""team__title-label"">Победа</span>",,51 : 45
13,Midas Club vs Quincy Crew,3.80-1.24,-,11.49(1.01)1.30,23 Июля 22:30 2020,The Great American Rivalry Division 1 Season 1,Midas Club,"['21 21 21', 'Sexyfat', 'Hyko', 'RdO-', 'Duster']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Legion Commander', 'Beastmaster', 'Phantom Lancer', 'Batrider', 'Anti-Mage', 'Medusa', 'Monkey King']","['Winter Wyvern', ""Nature's Prophet"", 'Spectre', 'Ember Spirit', 'Queen of Pain', 'Death Prophet', 'Kunkka']","['Riki', 'Sand King', 'Treant Protector', 'Wraith King', 'Lion']","['Faceless Void', 'Void Spirit', 'Underlord', 'Phoenix', 'Witch Doctor']",,"<span class=""team__title-label"">Победа</span>",11 : 39
14,Thunder Predator vs 4 Zoomers,2.71-1.43,-,2.53(1.10)4.61,23 Июля 20:16 2020,The Great American Rivalry Division 1 Season 1,Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']",4 Zoomers,"['Sammyboy', 'Gunnar', 'monkeys-forever', 'Oceania', 'Husky']","['Broodmother', 'Batrider', 'Shadow Demon', 'Earth Spirit', 'Kunkka', 'Enchantress', 'Chen']","['Ember Spirit', 'Tiny', 'Phoenix', 'Faceless Void', 'Doom', 'Medusa', 'Spectre']","['Morphling', 'Rubick', 'Beastmaster', 'Void Spirit', 'Oracle']","['Terrorblade', 'Silencer', 'Sand King', 'Dark Seer', 'Enigma']","<span class=""team__title-label"">Победа</span>",,48 : 27
15,Thunder Predator vs 4 Zoomers,2.71-1.43,-,2.53(1.10)4.61,23 Июля 20:16 2020,The Great American Rivalry Division 1 Season 1,Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']",4 Zoomers,"['Sammyboy', 'Gunnar', 'monkeys-forever', 'Oceania', 'Husky']","['Broodmother', 'Batrider', 'Shadow Demon', 'Silencer', 'Sand King', 'Night Stalker', ""Nature's Prophet""]","['Ember Spirit', 'Tiny', 'Beastmaster', 'Morphling', 'Faceless Void', 'Kunkka', 'Queen of Pain']","['Anti-Mage', 'Void Spirit', 'Centaur Warrunner', 'Earthshaker', 'Oracle']","['Terrorblade', 'Doom', 'Slardar', 'Dark Seer', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",12 : 19
16,PSG.LGD vs Royal Never Give Up,1.34-3.31,-,1.31-3.26,23 Июля 14:03 2020,DPL-CDA Professional League Season 2,PSG.LGD,"['Somnus`M', 'Chalice', 'old eLeVeN', 'fy', 'xNova']",Royal Never Give Up,"['Monet', 'White丶Album_白学家', 'Flyby', 'FelixCiaoBa', 'Super']","['Vengeful Spirit', 'Io', 'Faceless Void', 'Queen of Pain', 'Wraith King', 'Juggernaut', 'Spectre']","['Ancient Apparition', 'Batrider', 'Ember Spirit', 'Mars', 'Earthshaker', 'Naga Siren', 'Phantom Lancer']","['Kunkka', 'Doom', 'Broodmother', 'Phoenix', 'Bane']","['Morphling', 'Venomancer', ""Nature's Prophet"", 'Earth Spirit', 'Snapfire']","<span class=""team__title-label"">Победа</span>",,27 : 14
17,PSG.LGD vs Royal Never Give Up,1.34-3.31,-,1.31-3.26,23 Июля 14:03 2020,DPL-CDA Professional League Season 2,PSG.LGD,"['Somnus`M', 'old eLeVeN', 'Chalice', 'fy', 'xNova']",Royal Never Give Up,"['Monet', 'White丶Album_白学家', 'Flyby', 'FelixCiaoBa', 'Super']","['Io', 'Clockwerk', 'Venomancer', 'Kunkka', 'Viper', 'Batrider', 'Brewmaster']","['Vengeful Spirit', 'Earthshaker', 'Anti-Mage', 'Phantom Lancer', 'Terrorblade', 'Spectre', 'Troll Warlord']","['Dragon Knight', 'Doom', ""Nature's Prophet"", 'Phoenix', 'Ogre Magi']","['Wraith King', 'Queen of Pain', 'Underlord', 'Shadow Shaman', 'Snapfire']","<span class=""team__title-label"">Победа</span>",,40 : 43
18,PSG.LGD vs EHOME,1.44-2.84,-,1.34-3.09,23 Июля 08:13 2020,DPL-CDA Professional League Season 2,PSG.LGD,"['Somnus`M', 'Chalice', 'old eLeVeN', 'fy', 'xNova']",EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'XinQ', 'y`']","['Earth Spirit', 'Techies', 'Puck', 'Viper', 'Anti-Mage', 'Kunkka', 'Ember Spirit']","['Batrider', 'Enchantress', 'Terrorblade', 'Enigma', 'Doom', 'Beastmaster', 'Bristleback']","['Queen of Pain', 'Spectre', 'Mars', 'Earthshaker', 'Jakiro']","['Lone Druid', ""Nature's Prophet"", 'Pangolier', 'Tusk', 'Treant Protector']",,"<span class=""team__title-label"">Победа</span>",19 : 22
19,PSG.LGD vs EHOME,1.44-2.84,-,1.34-3.09,23 Июля 08:13 2020,DPL-CDA Professional League Season 2,PSG.LGD,"['Somnus`M', 'Chalice', 'old eLeVeN', 'fy', 'xNova']",EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'XinQ', 'y`']","['Earth Spirit', 'Treant Protector', 'Lone Druid', 'Morphling', 'Anti-Mage', 'Riki', 'Spectre']","['Phoenix', 'Earthshaker', 'Batrider', ""Nature's Prophet"", 'Enigma', 'Templar Assassin', 'Lifestealer']","['Ember Spirit', 'Naga Siren', 'Mars', 'Tusk', 'Keeper of the Light']","['Juggernaut', 'Void Spirit', 'Clockwerk', 'Techies', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",36 : 47
20,Thunder Predator vs Quincy Crew,1.89-1.85,-,5.40(1.30)2.00,23 Июля 03:37 2020,The Great American Rivalry Division 1 Season 1,Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']","['Ember Spirit', 'Beastmaster', 'Winter Wyvern', 'Death Prophet', 'Queen of Pain', 'Necrophos', 'Juggernaut']","['Mirana', 'Void Spirit', 'Kunkka', 'Sand King', 'Naga Siren', 'Sven', 'Gyrocopter']","['Spectre', 'Pangolier', 'Underlord', 'Rubick', 'Enchantress']","['Slark', 'Puck', ""Nature's Prophet"", 'Tiny', 'Ogre Magi']",,"<span class=""team__title-label"">Победа</span>",21 : 46
21,Thunder Predator vs Quincy Crew,1.89-1.85,-,5.40(1.30)2.00,23 Июля 03:37 2020,The Great American Rivalry Division 1 Season 1,Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']",Thunder Predator,"['Mnz', 'Leostyle-', 'Frank', 'Matthew', 'Mjz']","[""Nature's Prophet"", 'Necrophos', 'Viper', 'Death Prophet', 'Batrider', 'Lina', 'Puck']","['Void Spirit', 'Spectre', 'Phantom Lancer', 'Beastmaster', 'Legion Commander', 'Centaur Warrunner', 'Slardar']","['Terrorblade', 'Ember Spirit', 'Night Stalker', 'Phoenix', 'Ogre Magi']","['Anti-Mage', 'Kunkka', 'Abaddon', 'Tiny', 'Oracle']","<span class=""team__title-label"">Победа</span>",,36 : 14
22,Quincy Crew vs Infinity Esports,-,-,1.20(1.10)13.26,23 Июля 01:29 2020,The Great American Rivalry Division 1 Season 1,Infinity Esports,"['M a r i k a t e', 'Mandy', 'Benjaz', 'Raykill', 'Prada']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Mirana', 'Void Spirit', 'Ursa', 'Phantom Lancer', 'Kunkka', 'Death Prophet', 'Puck']","[""Nature's Prophet"", 'Ember Spirit', 'Witch Doctor', 'Batrider', 'Legion Commander', 'Queen of Pain', 'Templar Assassin']","['Pugna', 'Anti-Mage', 'Mars', 'Phoenix', 'Jakiro']","['Juggernaut', 'Lina', 'Sand King', 'Enchantress', 'Silencer']","<span class=""team__title-label"">Победа</span>",,34 : 14
23,Quincy Crew vs Infinity Esports,-,-,1.20(1.10)13.26,23 Июля 01:29 2020,The Great American Rivalry Division 1 Season 1,Infinity Esports,"['M a r i k a t e', 'Mandy', 'Benjaz', 'Raykill', 'Prada']",Quincy Crew,"['YawaR', 'Quinn', 'Lelis', 'MSS', 'SVG']","['Mirana', 'Ember Spirit', ""Nature's Prophet"", 'Legion Commander', 'Phantom Lancer', 'Slardar', 'Death Prophet']","['Enchantress', 'Beastmaster', 'Mars', 'Queen of Pain', 'Chen', 'Kunkka', 'Viper']","['Doom', 'Anti-Mage', 'Batrider', 'Earthshaker', 'Snapfire']","['Faceless Void', 'Void Spirit', 'Axe', 'Phoenix', 'Nyx Assassin']",,"<span class=""team__title-label"">Победа</span>",14 : 34
24,Infamous Gaming vs business associates,1.84-1.90,-,6.33(1.02)1.76,22 Июля 23:19 2020,The Great American Rivalry Division 1 Season 1,Infamous Gaming,"['Papita', 'pakazs', 'Kxy', 'Michael', 'Accel']",business associates,"['Fear', 'EternaLEnVy', 'brax', 'Moo', 'Sneyking']","['Clinkz', 'Clockwerk', 'Sven', 'Crystal Maiden', 'Beastmaster', 'Troll Warlord', 'Naga Siren']","['Batrider', 'Lina', 'Wraith King', 'Morphling', 'Monkey King', 'Gyrocopter', 'Lifestealer']","[""Nature's Prophet"", 'Spectre', 'Ember Spirit', 'Void Spirit', 'Oracle']","['Puck', 'Medusa', 'Enchantress', 'Doom', 'Tiny']","<span class=""team__title-label"">Победа</span>",,24 : 15
25,Infamous Gaming vs business associates,1.84-1.90,-,6.33(1.02)1.76,22 Июля 23:19 2020,The Great American Rivalry Division 1 Season 1,Infamous Gaming,"['Papita', 'pakazs', 'Kxy', 'Michael', 'Accel']",business associates,"['Fear', 'EternaLEnVy', 'Moo', 'brax', 'Sneyking']","['Clinkz', 'Clockwerk', 'Sven', 'Ursa', 'Beastmaster', 'Lone Druid', 'Lifestealer']","[""Nature's Prophet"", 'Batrider', 'Viper', 'Legion Commander', 'Anti-Mage', 'Spectre', 'Riki']","['Puck', 'Abaddon', 'Ember Spirit', 'Earthshaker', 'Keeper of the Light']","['Crystal Maiden', 'Queen of Pain', 'Juggernaut', 'Void Spirit', 'Tiny']",,"<span class=""team__title-label"">Победа</span>",25 : 54
26,Vira Lata Caramelo vs Infamous Gaming,-,-,10.56(1.45)1.30,22 Июля 21:06 2020,The Great American Rivalry Division 1 Season 1,Infamous Gaming,"['Papita', 'pakazs', 'Kxy', 'Michael', 'Accel']",Vira Lata Caramelo,"['Arms', 'the demons told me', 'H1j4ck', 'Kaffurtado', 'Patati']","['Void Spirit', 'Pangolier', 'Grimstroke', 'Witch Doctor', 'Centaur Warrunner', 'Queen of Pain', 'Kunkka']","['Ember Spirit', ""Nature's Prophet"", 'Batrider', 'Beastmaster', 'Rubick', 'Storm Spirit', 'Puck']","['Legion Commander', 'Slark', 'Invoker', 'Lina', 'Enchantress']","['Ursa', 'Bloodseeker', 'Sand King', 'Mirana', 'Lich']","<span class=""team__title-label"">Победа</span>",,32 : 10
27,Vira Lata Caramelo vs Infamous Gaming,-,-,10.56(1.45)1.30,22 Июля 21:06 2020,The Great American Rivalry Division 1 Season 1,Infamous Gaming,"['Papita', 'pakazs', 'Kxy', 'Michael', 'Accel']",Vira Lata Caramelo,"['Arms', 'the demons told me', 'H1j4ck', 'Kaffurtado', 'Patati']","['Void Spirit', 'Pangolier', 'Rubick', 'Clockwerk', 'Riki', 'Ancient Apparition', 'Kunkka']","['Ember Spirit', ""Nature's Prophet"", 'Juggernaut', 'Legion Commander', 'Timbersaw', 'Necrophos', 'Invoker']","['Mars', 'Morphling', 'Leshrac', 'Mirana', 'Elder Titan']","['Lifestealer', 'Puck', 'Brewmaster', 'Lina', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",15 : 40
28,Invictus Gaming vs Sparking Arrow Gaming,1.65-2.27,-,1.61-2.25,22 Июля 12:46 2020,DPL-CDA Professional League Season 2,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Sparking Arrow Gaming,"['Op', 'God-King', 'Setsu', 'September', 'RedPanda']","['Clockwerk', 'Tusk', 'Faceless Void', 'Mars', 'Spectre', 'Earthshaker', 'Batrider']","['Vengeful Spirit', 'Phoenix', 'Templar Assassin', 'Kunkka', 'Naga Siren', 'Enigma', 'Axe']","['Morphling', 'Ember Spirit', 'Sand King', 'Mirana', 'Elder Titan']","['Venomancer', 'Terrorblade', 'Void Spirit', 'Snapfire', 'Abaddon']",,"<span class=""team__title-label"">Победа</span>",8 : 10
29,Invictus Gaming vs Sparking Arrow Gaming,1.65-2.27,-,1.61-2.25,22 Июля 12:46 2020,DPL-CDA Professional League Season 2,Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']",Sparking Arrow Gaming,"['Op', 'God-King', 'Setsu', 'September', 'RedPanda']","['Clockwerk', 'Tusk', 'Faceless Void', 'Terrorblade', 'Phantom Lancer', 'Nyx Assassin', 'Venomancer']","['Phoenix', 'Vengeful Spirit', 'Templar Assassin', 'Kunkka', 'Anti-Mage', 'Spectre', 'Morphling']","['Dragon Knight', 'Leshrac', 'Mars', 'Shadow Shaman', 'Elder Titan']","['Doom', 'Naga Siren', 'Void Spirit', 'Snapfire', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,33 : 30
30,Invictus Gaming vs Sparking Arrow Gaming,1.65-2.27,-,1.61-2.25,22 Июля 12:46 2020,DPL-CDA Professional League Season 2,Sparking Arrow Gaming,"['Op', 'God-King', 'Setsu', 'September', 'RedPanda']",Invictus Gaming,"['flyfly', 'Emo', 'JT-', 'Kaka', 'Oli']","['Elder Titan', 'Phoenix', 'Arc Warden', 'Invoker', 'Morphling', 'Zeus', 'Batrider']","['Clockwerk', 'Tusk', 'Queen of Pain', 'Void Spirit', 'Mirana', 'Puck', 'Ember Spirit']","['Earthshaker', 'Terrorblade', 'Mars', 'Shadow Demon', 'Bane']","['Phantom Lancer', 'Storm Spirit', 'Pugna', 'Tiny', 'Vengeful Spirit']",,"<span class=""team__title-label"">Победа</span>",17 : 28
31,Team Aster vs Sparking Arrow Gaming,1.68-2.20,-,1.70-2.08,22 Июля 10:16 2020,DPL-CDA Professional League Season 2,Sparking Arrow Gaming,"['Op', 'God-King', 'Setsu', 'September', 'RedPanda']",Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Borax', 'Fade']","['Io', 'Shadow Demon', 'Wraith King', 'Spectre', 'Morphling', 'Brewmaster', 'Doom']","['Vengeful Spirit', 'Clockwerk', 'Viper', 'Invoker', 'Puck', 'Ogre Magi', 'Ancient Apparition']","['Tusk', 'Faceless Void', 'Void Spirit', 'Phoenix', 'Disruptor']","['Terrorblade', 'Queen of Pain', 'Enigma', 'Oracle', 'Earthshaker']",,"<span class=""team__title-label"">Победа</span>",33 : 23
32,Team Aster vs Sparking Arrow Gaming,1.68-2.20,-,1.70-2.08,22 Июля 10:16 2020,DPL-CDA Professional League Season 2,Team Aster,"['Sccc', 'CHYuan', 'Xxs', 'Fade', 'Borax']",Sparking Arrow Gaming,"['Op', 'God-King', 'Setsu', 'September', 'RedPanda']","['Vengeful Spirit', 'Clockwerk', 'Naga Siren', 'Phantom Lancer', 'Terrorblade', 'Wraith King', 'Ursa']","['Io', 'Shadow Demon', 'Invoker', 'Queen of Pain', 'Batrider', 'Zeus', 'Pugna']","['Faceless Void', 'Sniper', 'Mars', 'Rubick', 'Snapfire']","['Earthshaker', ""Nature's Prophet"", 'Outworld Destroyer', 'Phoenix', 'Disruptor']","<span class=""team__title-label"">Победа</span>",,24 : 7
33,Fnatic vs Geek Fam,1.35-3.26,-,1.39-2.89,19 Июля 11:50 2020,ONE Esports Dota 2 SEA League,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",Geek Fam,"['Raven', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Treant Protector', 'Ogre Magi', 'Phantom Lancer', 'Ancient Apparition', 'Slark', 'Legion Commander', ""Nature's Prophet""]","['Timbersaw', 'Tiny', 'Earthshaker', 'Vengeful Spirit', 'Dragon Knight', 'Templar Assassin', 'Puck']","['Morphling', 'Leshrac', 'Abaddon', 'Batrider', 'Rubick']","['Naga Siren', 'Queen of Pain', 'Doom', 'Grimstroke', 'Disruptor']",,"<span class=""team__title-label"">Победа</span>",27 : 40
34,Fnatic vs Geek Fam,1.35-3.26,-,1.39-2.89,19 Июля 11:50 2020,ONE Esports Dota 2 SEA League,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",Geek Fam,"['Raven', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Treant Protector', 'Doom', 'Troll Warlord', 'Alchemist', 'Spectre', 'Ember Spirit', 'Void Spirit']","['Timbersaw', 'Batrider', 'Rubick', 'Dragon Knight', 'Venomancer', 'Death Prophet', 'Queen of Pain']","['Phantom Lancer', 'Puck', 'Abaddon', 'Disruptor', 'Tiny']","['Terrorblade', 'Pangolier', 'Sand King', 'Mirana', 'Ogre Magi']","<span class=""team__title-label"">Победа</span>",,26 : 11
35,Fnatic vs Geek Fam,1.35-3.26,-,1.39-2.89,19 Июля 11:50 2020,ONE Esports Dota 2 SEA League,Fnatic,"['23savage', 'Moon', 'iceiceice', 'Jabz', 'DJ']",Geek Fam,"['Raven', 'Karl', 'Kuku', 'Xepher', 'Whitemon']","['Doom', 'Queen of Pain', 'Ancient Apparition', 'Lina', 'Mirana', 'Vengeful Spirit', 'Ogre Magi']","['Timbersaw', 'Phoenix', 'Morphling', 'Alchemist', 'Nyx Assassin', 'Phantom Lancer', 'Troll Warlord']","['Lifestealer', 'Death Prophet', 'Abaddon', 'Treant Protector', 'Puck']","['Terrorblade', 'Dragon Knight', 'Legion Commander', 'Tiny', 'Snapfire']",,"<span class=""team__title-label"">Победа</span>",17 : 23
