,match,pinnacle,parimatch,ggbet,date,tournament,team left,players_left,team right,players_right,ban_left,ban_right,pick_left_team,pick_right_team,result_left_team,result_right_team,score
1410,Team Unique vs VP.Prodigy,4.50-1.21,-,4.11-1.21,26 Апреля 18:10 2020,Epic Prime League Season 1,Team Unique,"['Zitraks', 'Dame', 'illusion', '633', 'VANSKOR']",VP.Prodigy,"['Nightfall', 'fn', 'DM', 'Save-', 'eine']","['Keeper of the Light', 'Ember Spirit', 'Phoenix', ""Nature's Prophet"", 'Phantom Lancer', 'Mars']","['Chen', 'Timbersaw', 'Weaver', 'Grimstroke', 'Pangolier', 'Alchemist']","['Dragon Knight', 'Sniper', 'Enigma', 'Beastmaster', 'Pugna']","['Naga Siren', 'Death Prophet', 'Sand King', 'Shadow Demon', 'Treant Protector']",,"<span class=""team__title-label"">Победа</span>",11 : 36
1411,Virtus.pro vs FlyToMoon,1.14-6.11,-,1.10-6.21,26 Апреля 17:40 2020,WePlay! Pushka League Season 1: Division 1,FlyToMoon,"['V-Tune', 'Iceberg', 'GeneRaL', 'ALOHADANCE', 'ALWAYSWANNAFLY']",Virtus.pro,"['iLTW', 'Resolut1on', 'No[o]ne', 'Zayac', 'Solo']","['Techies', 'Ember Spirit', 'Keeper of the Light', 'Death Prophet', 'Beastmaster', 'Legion Commander']","['Shadow Demon', 'Oracle', 'Lycan', 'Timbersaw', 'Batrider', 'Lina']","['Phantom Lancer', 'Tiny', 'Pangolier', 'Enigma', 'Lich']","['Luna', ""Nature's Prophet"", 'Monkey King', 'Treant Protector', 'Grimstroke']",,"<span class=""team__title-label"">Победа</span>",16 : 35
1412,Virtus.pro vs FlyToMoon,1.14-6.11,-,1.10-6.21,26 Апреля 17:40 2020,WePlay! Pushka League Season 1: Division 1,Virtus.pro,"['iLTW', 'Resolut1on', 'No[o]ne', 'Zayac', 'Solo']",FlyToMoon,"['V-Tune', 'Iceberg', 'GeneRaL', 'ALOHADANCE', 'ALWAYSWANNAFLY']","['Shadow Demon', 'Lycan', 'Timbersaw', 'Pugna', 'Centaur Warrunner', 'Queen of Pain']","['Techies', 'Ember Spirit', 'Keeper of the Light', ""Nature's Prophet"", 'Troll Warlord', 'Necrophos']","['Bristleback', 'Batrider', 'Sniper', 'Earth Spirit', 'Oracle']","['Slark', 'Death Prophet', 'Weaver', 'Earthshaker', 'Lich']",,"<span class=""team__title-label"">Победа</span>",24 : 33
1413,Virtus.pro vs FlyToMoon,1.14-6.11,-,1.10-6.21,26 Апреля 17:40 2020,WePlay! Pushka League Season 1: Division 1,Virtus.pro,"['iLTW', 'Resolut1on', 'No[o]ne', 'Zayac', 'Solo']",FlyToMoon,"['V-Tune', 'Iceberg', 'GeneRaL', 'ALOHADANCE', 'ALWAYSWANNAFLY']","['Death Prophet', 'Lycan', 'Timbersaw', 'Batrider', 'Oracle', 'Puck']","['Techies', 'Keeper of the Light', 'Ember Spirit', ""Nature's Prophet"", 'Faceless Void', 'Invoker']","['Spectre', 'Axe', 'Storm Spirit', 'Shadow Demon', 'Grimstroke']","['Wraith King', 'Silencer', 'Weaver', 'Earthshaker', 'Lich']","<span class=""team__title-label"">Победа</span>",,59 : 34
1414,Winstrike Team vs Nemiga Gaming,3.03-1.39,-,2.99-1.36,26 Апреля 16:06 2020,Arena of Blood Season 2,Winstrike Team,"['чикиряу', 'young G', 'DkFogas', 'TSA', 'kickeed']",Nemiga Gaming,"['Nefrit', 'mellojul', 'TheChosenOne', 'Astral', 'Fervian']","['Bristleback', 'Dragon Knight', 'Timbersaw', 'Riki', 'Morphling', 'Meepo']","['Lycan', 'Bounty Hunter', 'Grimstroke', 'Batrider', 'Mars', 'Shadow Fiend']","['Ember Spirit', ""Nature's Prophet"", 'Weaver', 'Tiny', 'Keeper of the Light']","['Juggernaut', 'Puck', 'Void Spirit', 'Shadow Demon', 'Enchantress']",,"<span class=""team__title-label"">Победа</span>",20 : 36
1415,Winstrike Team vs Nemiga Gaming,3.03-1.39,-,2.99-1.36,26 Апреля 16:06 2020,Arena of Blood Season 2,Winstrike Team,"['чикиряу', 'young G', 'DkFogas', 'TSA', 'kickeed']",Nemiga Gaming,"['Nefrit', 'mellojul', 'TheChosenOne', 'Astral', 'Fervian']","['Dragon Knight', 'Bristleback', 'Timbersaw', 'Keeper of the Light', 'Meepo', 'Puck']","['Lycan', 'Bounty Hunter', 'Grimstroke', 'Batrider', 'Ember Spirit', 'Shadow Fiend']","['Morphling', 'Storm Spirit', 'Pangolier', 'Tusk', 'Chen']","['Bloodseeker', 'Queen of Pain', 'Void Spirit', 'Earthshaker', 'Enchantress']",,"<span class=""team__title-label"">Победа</span>",16 : 33
1416,EHOME vs Royal Never Give Up,3.16-1.37,-,2.99-1.36,26 Апреля 14:12 2020,China Dota2 Professional League Season 2,EHOME,"['Sylar', 'NothingToSay', 'Faith_bian', 'XinQ', 'y`']",Royal Never Give Up,"['Monet', 'Flyby', 'September', 'Super']","['Phoenix', 'Timbersaw', 'Shadow Demon', 'Dragon Knight', 'Outworld Destroyer', 'Lina']","['Oracle', ""Nature's Prophet"", 'Pangolier', 'Death Prophet', 'Riki', 'Huskar']","['Slark', 'Puck', 'Omniknight', 'Tusk', 'Grimstroke']","['Phantom Lancer', 'Mars', 'Treant Protector', 'Lich']",,"<span class=""team__title-label"">Победа</span>",24 : 37
1417,EHOME vs Royal Never Give Up,3.16-1.37,-,2.99-1.36,26 Апреля 14:12 2020,China Dota2 Professional League Season 2,Royal Never Give Up,"['Monet', 'Flyby', 'September', 'Super', 'Sylar']",EHOME,"['NothingToSay', 'Faith_bian', 'XinQ', 'y`']","['Death Prophet', 'Oracle', 'Mars', 'Centaur Warrunner', 'Brewmaster', ""Nature's Prophet""]","['Shadow Demon', 'Phoenix', 'Timbersaw', 'Dragon Knight', 'Batrider', 'Earthshaker']","['Morphling', 'Bounty Hunter', 'Pangolier', 'Lich', 'Riki']","['Ember Spirit', 'Clockwerk', 'Sniper', 'Treant Protector']","<span class=""team__title-label"">Победа</span>",,39 : 15
1418,Team Nigma vs Team Liquid,1.37-3.17,-,1.31-3.26,26 Апреля 14:09 2020,WePlay! Pushka League Season 1: Division 1,Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']",Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']","['Mars', 'Io', ""Nature's Prophet"", 'Tusk', 'Meepo', 'Morphling']","['Timbersaw', 'Lycan', 'Grimstroke', 'Bristleback', 'Death Prophet', 'Batrider']","['Troll Warlord', 'Ember Spirit', 'Slardar', 'Dark Willow', 'Oracle']","['Razor', 'Faceless Void', 'Void Spirit', 'Earthshaker', 'Keeper of the Light']","<span class=""team__title-label"">Победа</span>",,41 : 10
1419,Team Nigma vs Team Liquid,1.37-3.17,-,1.31-3.26,26 Апреля 14:09 2020,WePlay! Pushka League Season 1: Division 1,Team Nigma,"['w33', 'Miracle-', 'MinD_ContRoL', 'GH', 'KuroKy']",Team Liquid,"['miCKe', 'qojqva', 'Boxi', 'Taiga', 'iNSaNiA']","['Bristleback', 'Timbersaw', 'Lycan', 'Oracle', 'Axe', 'Templar Assassin']","[""Nature's Prophet"", 'Io', 'Tusk', 'Mars', 'Razor', 'Meepo']","['Necrophos', 'Ember Spirit', 'Pugna', 'Clockwerk', 'Lich']","['Troll Warlord', 'Dragon Knight', 'Batrider', 'Grimstroke', 'Keeper of the Light']","<span class=""team__title-label"">Победа</span>",,23 : 15
